"nation","variable","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age"
"us","AA66A00004",943002,"A","Asian or Pacific Islander","All Origins",666,2010,0,4
"us","AA66A05009",971515,"A","Asian or Pacific Islander","All Origins",666,2010,5,9
"us","AA66A10014",923977,"A","Asian or Pacific Islander","All Origins",666,2010,10,14
"us","AA66A15019",1003278,"A","Asian or Pacific Islander","All Origins",666,2010,15,19
"us","AA66A20024",1158972,"A","Asian or Pacific Islander","All Origins",666,2010,20,24
"us","AA66A25029",1284234,"A","Asian or Pacific Islander","All Origins",666,2010,25,29
"us","AA66A30034",1284654,"A","Asian or Pacific Islander","All Origins",666,2010,30,34
"us","AA66A35039",1335031,"A","Asian or Pacific Islander","All Origins",666,2010,35,39
"us","AA66A40044",1191956,"A","Asian or Pacific Islander","All Origins",666,2010,40,44
"us","AA66A45049",1111705,"A","Asian or Pacific Islander","All Origins",666,2010,45,49
"us","AA66A50054",1011178,"A","Asian or Pacific Islander","All Origins",666,2010,50,54
"us","AA66A55059",868535,"A","Asian or Pacific Islander","All Origins",666,2010,55,59
"us","AA66A60064",708389,"A","Asian or Pacific Islander","All Origins",666,2010,60,64
"us","AA66A65069",486397,"A","Asian or Pacific Islander","All Origins",666,2010,65,69
"us","AA66A70074",362417,"A","Asian or Pacific Islander","All Origins",666,2010,70,74
"us","AA66A75079",256573,"A","Asian or Pacific Islander","All Origins",666,2010,75,79
"us","AA66A80084",172096,"A","Asian or Pacific Islander","All Origins",666,2010,80,84
"us","AA66A85150",140356,"A","Asian or Pacific Islander","All Origins",666,2010,85,150
"us","AA66F00004",463094,"F","Asian or Pacific Islander","All Origins",666,2010,0,4
"us","AA66F05009",486401,"F","Asian or Pacific Islander","All Origins",666,2010,5,9
"us","AA66F10014",458144,"F","Asian or Pacific Islander","All Origins",666,2010,10,14
"us","AA66F15019",488419,"F","Asian or Pacific Islander","All Origins",666,2010,15,19
"us","AA66F20024",572788,"F","Asian or Pacific Islander","All Origins",666,2010,20,24
"us","AA66F25029",672466,"F","Asian or Pacific Islander","All Origins",666,2010,25,29
"us","AA66F30034",682905,"F","Asian or Pacific Islander","All Origins",666,2010,30,34
"us","AA66F35039",706267,"F","Asian or Pacific Islander","All Origins",666,2010,35,39
"us","AA66F40044",631763,"F","Asian or Pacific Islander","All Origins",666,2010,40,44
"us","AA66F45049",590532,"F","Asian or Pacific Islander","All Origins",666,2010,45,49
"us","AA66F50054",544432,"F","Asian or Pacific Islander","All Origins",666,2010,50,54
"us","AA66F55059",476525,"F","Asian or Pacific Islander","All Origins",666,2010,55,59
"us","AA66F60064",390039,"F","Asian or Pacific Islander","All Origins",666,2010,60,64
"us","AA66F65069",265524,"F","Asian or Pacific Islander","All Origins",666,2010,65,69
"us","AA66F70074",198466,"F","Asian or Pacific Islander","All Origins",666,2010,70,74
"us","AA66F75079",148399,"F","Asian or Pacific Islander","All Origins",666,2010,75,79
"us","AA66F80084",104741,"F","Asian or Pacific Islander","All Origins",666,2010,80,84
"us","AA66F85150",88376,"F","Asian or Pacific Islander","All Origins",666,2010,85,150
"us","AA66M00004",479908,"M","Asian or Pacific Islander","All Origins",666,2010,0,4
"us","AA66M05009",485114,"M","Asian or Pacific Islander","All Origins",666,2010,5,9
"us","AA66M10014",465833,"M","Asian or Pacific Islander","All Origins",666,2010,10,14
"us","AA66M15019",514859,"M","Asian or Pacific Islander","All Origins",666,2010,15,19
"us","AA66M20024",586184,"M","Asian or Pacific Islander","All Origins",666,2010,20,24
"us","AA66M25029",611768,"M","Asian or Pacific Islander","All Origins",666,2010,25,29
"us","AA66M30034",601749,"M","Asian or Pacific Islander","All Origins",666,2010,30,34
"us","AA66M35039",628764,"M","Asian or Pacific Islander","All Origins",666,2010,35,39
"us","AA66M40044",560193,"M","Asian or Pacific Islander","All Origins",666,2010,40,44
"us","AA66M45049",521173,"M","Asian or Pacific Islander","All Origins",666,2010,45,49
"us","AA66M50054",466746,"M","Asian or Pacific Islander","All Origins",666,2010,50,54
"us","AA66M55059",392010,"M","Asian or Pacific Islander","All Origins",666,2010,55,59
"us","AA66M60064",318350,"M","Asian or Pacific Islander","All Origins",666,2010,60,64
"us","AA66M65069",220873,"M","Asian or Pacific Islander","All Origins",666,2010,65,69
"us","AA66M70074",163951,"M","Asian or Pacific Islander","All Origins",666,2010,70,74
"us","AA66M75079",108174,"M","Asian or Pacific Islander","All Origins",666,2010,75,79
"us","AA66M80084",67355,"M","Asian or Pacific Islander","All Origins",666,2010,80,84
"us","AA66M85150",51980,"M","Asian or Pacific Islander","All Origins",666,2010,85,150
"us","BA66A00004",2902590,"A","Black or African American","All Origins",666,2010,0,4
"us","BA66A05009",2882597,"A","Black or African American","All Origins",666,2010,5,9
"us","BA66A10014",3034266,"A","Black or African American","All Origins",666,2010,10,14
"us","BA66A15019",3448051,"A","Black or African American","All Origins",666,2010,15,19
"us","BA66A20024",3111397,"A","Black or African American","All Origins",666,2010,20,24
"us","BA66A25029",2786254,"A","Black or African American","All Origins",666,2010,25,29
"us","BA66A30034",2627925,"A","Black or African American","All Origins",666,2010,30,34
"us","BA66A35039",2613389,"A","Black or African American","All Origins",666,2010,35,39
"us","BA66A40044",2669034,"A","Black or African American","All Origins",666,2010,40,44
"us","BA66A45049",2828657,"A","Black or African American","All Origins",666,2010,45,49
"us","BA66A50054",2694247,"A","Black or African American","All Origins",666,2010,50,54
"us","BA66A55059",2205820,"A","Black or African American","All Origins",666,2010,55,59
"us","BA66A60064",1686695,"A","Black or African American","All Origins",666,2010,60,64
"us","BA66A65069",1162577,"A","Black or African American","All Origins",666,2010,65,69
"us","BA66A70074",852317,"A","Black or African American","All Origins",666,2010,70,74
"us","BA66A75079",616789,"A","Black or African American","All Origins",666,2010,75,79
"us","BA66A80084",424592,"A","Black or African American","All Origins",666,2010,80,84
"us","BA66A85150",382122,"A","Black or African American","All Origins",666,2010,85,150
"us","BA66F00004",1431336,"F","Black or African American","All Origins",666,2010,0,4
"us","BA66F05009",1419372,"F","Black or African American","All Origins",666,2010,5,9
"us","BA66F10014",1491428,"F","Black or African American","All Origins",666,2010,10,14
"us","BA66F15019",1695184,"F","Black or African American","All Origins",666,2010,15,19
"us","BA66F20024",1571229,"F","Black or African American","All Origins",666,2010,20,24
"us","BA66F25029",1447276,"F","Black or African American","All Origins",666,2010,25,29
"us","BA66F30034",1382845,"F","Black or African American","All Origins",666,2010,30,34
"us","BA66F35039",1384734,"F","Black or African American","All Origins",666,2010,35,39
"us","BA66F40044",1406768,"F","Black or African American","All Origins",666,2010,40,44
"us","BA66F45049",1494883,"F","Black or African American","All Origins",666,2010,45,49
"us","BA66F50054",1431266,"F","Black or African American","All Origins",666,2010,50,54
"us","BA66F55059",1193870,"F","Black or African American","All Origins",666,2010,55,59
"us","BA66F60064",927590,"F","Black or African American","All Origins",666,2010,60,64
"us","BA66F65069",657955,"F","Black or African American","All Origins",666,2010,65,69
"us","BA66F70074",497797,"F","Black or African American","All Origins",666,2010,70,74
"us","BA66F75079",378826,"F","Black or African American","All Origins",666,2010,75,79
"us","BA66F80084",277972,"F","Black or African American","All Origins",666,2010,80,84
"us","BA66F85150",275018,"F","Black or African American","All Origins",666,2010,85,150
"us","BA66M00004",1471254,"M","Black or African American","All Origins",666,2010,0,4
"us","BA66M05009",1463225,"M","Black or African American","All Origins",666,2010,5,9
"us","BA66M10014",1542838,"M","Black or African American","All Origins",666,2010,10,14
"us","BA66M15019",1752867,"M","Black or African American","All Origins",666,2010,15,19
"us","BA66M20024",1540168,"M","Black or African American","All Origins",666,2010,20,24
"us","BA66M25029",1338978,"M","Black or African American","All Origins",666,2010,25,29
"us","BA66M30034",1245080,"M","Black or African American","All Origins",666,2010,30,34
"us","BA66M35039",1228655,"M","Black or African American","All Origins",666,2010,35,39
"us","BA66M40044",1262266,"M","Black or African American","All Origins",666,2010,40,44
"us","BA66M45049",1333774,"M","Black or African American","All Origins",666,2010,45,49
