"nation","rural_urban_class","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
"us","666",1443258,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","1",823822,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","2",321898,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","3",200686,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","4",58437,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","5",29564,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","6",8851,"A","Asian or Pacific Islander","All Origins","666",2016,25,29,"Census"
"us","666",1476405,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","1",815174,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","2",369166,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","3",199039,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","4",54682,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","5",29405,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","6",8939,"A","Asian or Pacific Islander","All Origins","666",2016,30,34,"Census"
"us","666",2808885,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","1",1462973,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","2",794500,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","3",383590,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","4",96237,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","5",53951,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","6",17634,"A","Asian or Pacific Islander","All Origins","666",2016,35,44,"Census"
"us","666",2355559,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","1",1238861,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","2",643975,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","3",337224,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","4",72811,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","5",47932,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","6",14756,"A","Asian or Pacific Islander","All Origins","666",2016,45,54,"Census"
"us","666",1896757,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","1",1023678,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","2",477455,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","3",281704,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","4",60245,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","5",41576,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","6",12099,"A","Asian or Pacific Islander","All Origins","666",2016,55,64,"Census"
"us","666",1143634,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","1",613983,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","2",283295,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","3",178615,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","4",35048,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","5",25195,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","6",7498,"A","Asian or Pacific Islander","All Origins","666",2016,65,74,"Census"
"us","666",552105,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","1",311906,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","2",122832,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","3",87360,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","4",16184,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","5",10968,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","6",2855,"A","Asian or Pacific Islander","All Origins","666",2016,75,84,"Census"
"us","666",200856,"A","Asian or Pacific Islander","All Origins","666",2016,85,150,"Census"
"us","1",112652,"A","Asian or Pacific Islander","All Origins","666",2016,85,150,"Census"
"us","2",36178,"A","Asian or Pacific Islander","All Origins","666",2016,85,150,"Census"
"us","3",39508,"A","Asian or Pacific Islander","All Origins","666",2016,85,150,"Census"
"us","4",5463,"A","Asian or Pacific Islander","All Origins","666",2016,85,150,"Census"
