"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
25,25,2000,"Hispanic or Latino","A","White",651761,"us",666,666,"CDC"
25,25,2000,"Not Hispanic or Latino","A","White",2307391,"us",666,666,"CDC"
25,25,2001,"Hispanic or Latino","A","White",661143,"us",666,666,"CDC"
25,25,2001,"Not Hispanic or Latino","A","White",2217636,"us",666,666,"CDC"
25,25,2002,"Hispanic or Latino","A","White",677516,"us",666,666,"CDC"
25,25,2002,"Not Hispanic or Latino","A","White",2289512,"us",666,666,"CDC"
25,25,2003,"Hispanic or Latino","A","White",690152,"us",666,666,"CDC"
25,25,2003,"Not Hispanic or Latino","A","White",2322361,"us",666,666,"CDC"
25,25,2004,"Hispanic or Latino","A","White",703400,"us",666,666,"CDC"
25,25,2004,"Not Hispanic or Latino","A","White",2397899,"us",666,666,"CDC"
25,25,2005,"Hispanic or Latino","A","White",748451,"us",666,666,"CDC"
25,25,2005,"Not Hispanic or Latino","A","White",2520146,"us",666,666,"CDC"
25,25,2006,"Hispanic or Latino","A","White",754678,"us",666,666,"CDC"
25,25,2006,"Not Hispanic or Latino","A","White",2550213,"us",666,666,"CDC"
25,25,2007,"Hispanic or Latino","A","White",770991,"us",666,666,"CDC"
25,25,2007,"Not Hispanic or Latino","A","White",2522361,"us",666,666,"CDC"
25,25,2008,"Hispanic or Latino","A","White",770811,"us",666,666,"CDC"
25,25,2008,"Not Hispanic or Latino","A","White",2520779,"us",666,666,"CDC"
25,25,2009,"Hispanic or Latino","A","White",762202,"us",666,666,"CDC"
25,25,2009,"Not Hispanic or Latino","A","White",2486823,"us",666,666,"CDC"
25,25,2010,"Hispanic or Latino","A","White",775506,"us",666,666,"CDC"
25,25,2010,"Not Hispanic or Latino","A","White",2537359,"us",666,666,"CDC"
25,25,2011,"Hispanic or Latino","A","White",771934,"us",666,666,"CDC"
25,25,2011,"Not Hispanic or Latino","A","White",2511554,"us",666,666,"CDC"
25,25,2012,"Hispanic or Latino","A","White",768518,"us",666,666,"CDC"
25,25,2012,"Not Hispanic or Latino","A","White",2496584,"us",666,666,"CDC"
25,25,2013,"Hispanic or Latino","A","White",781463,"us",666,666,"CDC"
25,25,2013,"Not Hispanic or Latino","A","White",2532180,"us",666,666,"CDC"
25,25,2014,"Hispanic or Latino","A","White",791125,"us",666,666,"CDC"
25,25,2014,"Not Hispanic or Latino","A","White",2583727,"us",666,666,"CDC"
25,25,2015,"Hispanic or Latino","A","White",839751,"us",666,666,"CDC"
25,25,2015,"Not Hispanic or Latino","A","White",2678300,"us",666,666,"CDC"
25,25,2016,"Hispanic or Latino","A","White",857701,"us",666,666,"CDC"
25,25,2016,"Not Hispanic or Latino","A","White",2671857,"us",666,666,"CDC"
26,26,2000,"Hispanic or Latino","A","White",630094,"us",666,666,"CDC"
26,26,2000,"Not Hispanic or Latino","A","White",2243176,"us",666,666,"CDC"
26,26,2001,"Hispanic or Latino","A","White",665492,"us",666,666,"CDC"
26,26,2001,"Not Hispanic or Latino","A","White",2299989,"us",666,666,"CDC"
26,26,2002,"Hispanic or Latino","A","White",672184,"us",666,666,"CDC"
26,26,2002,"Not Hispanic or Latino","A","White",2205662,"us",666,666,"CDC"
26,26,2003,"Hispanic or Latino","A","White",684045,"us",666,666,"CDC"
26,26,2003,"Not Hispanic or Latino","A","White",2269698,"us",666,666,"CDC"
26,26,2004,"Hispanic or Latino","A","White",694667,"us",666,666,"CDC"
26,26,2004,"Not Hispanic or Latino","A","White",2307325,"us",666,666,"CDC"
26,26,2005,"Hispanic or Latino","A","White",706578,"us",666,666,"CDC"
26,26,2005,"Not Hispanic or Latino","A","White",2376321,"us",666,666,"CDC"
26,26,2006,"Hispanic or Latino","A","White",749403,"us",666,666,"CDC"
26,26,2006,"Not Hispanic or Latino","A","White",2496884,"us",666,666,"CDC"
26,26,2007,"Hispanic or Latino","A","White",752070,"us",666,666,"CDC"
26,26,2007,"Not Hispanic or Latino","A","White",2522179,"us",666,666,"CDC"
26,26,2008,"Hispanic or Latino","A","White",765744,"us",666,666,"CDC"
26,26,2008,"Not Hispanic or Latino","A","White",2492190,"us",666,666,"CDC"
26,26,2009,"Hispanic or Latino","A","White",762455,"us",666,666,"CDC"
26,26,2009,"Not Hispanic or Latino","A","White",2487448,"us",666,666,"CDC"
26,26,2010,"Hispanic or Latino","A","White",754859,"us",666,666,"CDC"
26,26,2010,"Not Hispanic or Latino","A","White",2456236,"us",666,666,"CDC"
26,26,2011,"Hispanic or Latino","A","White",780547,"us",666,666,"CDC"
26,26,2011,"Not Hispanic or Latino","A","White",2540001,"us",666,666,"CDC"
26,26,2012,"Hispanic or Latino","A","White",776059,"us",666,666,"CDC"
26,26,2012,"Not Hispanic or Latino","A","White",2517823,"us",666,666,"CDC"
26,26,2013,"Hispanic or Latino","A","White",772320,"us",666,666,"CDC"
26,26,2013,"Not Hispanic or Latino","A","White",2501491,"us",666,666,"CDC"
26,26,2014,"Hispanic or Latino","A","White",786646,"us",666,666,"CDC"
26,26,2014,"Not Hispanic or Latino","A","White",2537090,"us",666,666,"CDC"
26,26,2015,"Hispanic or Latino","A","White",796821,"us",666,666,"CDC"
26,26,2015,"Not Hispanic or Latino","A","White",2588773,"us",666,666,"CDC"
26,26,2016,"Hispanic or Latino","A","White",845292,"us",666,666,"CDC"
26,26,2016,"Not Hispanic or Latino","A","White",2682607,"us",666,666,"CDC"
27,27,2000,"Hispanic or Latino","A","White",633440,"us",666,666,"CDC"
27,27,2000,"Not Hispanic or Latino","A","White",2312667,"us",666,666,"CDC"
27,27,2001,"Hispanic or Latino","A","White",643503,"us",666,666,"CDC"
27,27,2001,"Not Hispanic or Latino","A","White",2239621,"us",666,666,"CDC"
27,27,2002,"Hispanic or Latino","A","White",678379,"us",666,666,"CDC"
27,27,2002,"Not Hispanic or Latino","A","White",2296089,"us",666,666,"CDC"
27,27,2003,"Hispanic or Latino","A","White",683050,"us",666,666,"CDC"
27,27,2003,"Not Hispanic or Latino","A","White",2200588,"us",666,666,"CDC"
27,27,2004,"Hispanic or Latino","A","White",695043,"us",666,666,"CDC"
27,27,2004,"Not Hispanic or Latino","A","White",2272820,"us",666,666,"CDC"
27,27,2005,"Hispanic or Latino","A","White",706846,"us",666,666,"CDC"
27,27,2005,"Not Hispanic or Latino","A","White",2310289,"us",666,666,"CDC"
27,27,2006,"Hispanic or Latino","A","White",719323,"us",666,666,"CDC"
27,27,2006,"Not Hispanic or Latino","A","White",2383068,"us",666,666,"CDC"
27,27,2007,"Hispanic or Latino","A","White",761105,"us",666,666,"CDC"
27,27,2007,"Not Hispanic or Latino","A","White",2505016,"us",666,666,"CDC"
27,27,2008,"Hispanic or Latino","A","White",763751,"us",666,666,"CDC"
27,27,2008,"Not Hispanic or Latino","A","White",2533534,"us",666,666,"CDC"
27,27,2009,"Hispanic or Latino","A","White",776890,"us",666,666,"CDC"
