"min_age","max_age","Year","Hispanic.Origin","Race","Population","nation","Education"
0,0,2000,"All Origins","American Indian or Alaska Native",54763,"us",666
0,0,2000,"All Origins","Asian or Pacific Islander",171216,"us",666
0,0,2000,"All Origins","Black or African American",622417,"us",666
0,0,2000,"All Origins","White",3007560,"us",666
0,0,2001,"All Origins","American Indian or Alaska Native",57488,"us",666
0,0,2001,"All Origins","Asian or Pacific Islander",192685,"us",666
0,0,2001,"All Origins","Black or African American",643336,"us",666
0,0,2001,"All Origins","White",3119149,"us",666
0,0,2002,"All Origins","American Indian or Alaska Native",57852,"us",666
0,0,2002,"All Origins","Asian or Pacific Islander",192510,"us",666
0,0,2002,"All Origins","Black or African American",625877,"us",666
0,0,2002,"All Origins","White",3075222,"us",666
0,0,2003,"All Origins","American Indian or Alaska Native",59984,"us",666
0,0,2003,"All Origins","Asian or Pacific Islander",203739,"us",666
0,0,2003,"All Origins","Black or African American",619402,"us",666
0,0,2003,"All Origins","White",3092746,"us",666
0,0,2004,"All Origins","American Indian or Alaska Native",61748,"us",666
0,0,2004,"All Origins","Asian or Pacific Islander",209740,"us",666
0,0,2004,"All Origins","Black or African American",631136,"us",666
0,0,2004,"All Origins","White",3111634,"us",666
0,0,2005,"All Origins","American Indian or Alaska Native",64831,"us",666
0,0,2005,"All Origins","Asian or Pacific Islander",214513,"us",666
0,0,2005,"All Origins","Black or African American",647278,"us",666
0,0,2005,"All Origins","White",3077771,"us",666
0,0,2006,"All Origins","American Indian or Alaska Native",67569,"us",666
0,0,2006,"All Origins","Asian or Pacific Islander",215724,"us",666
0,0,2006,"All Origins","Black or African American",663764,"us",666
0,0,2006,"All Origins","White",3094681,"us",666
0,0,2007,"All Origins","American Indian or Alaska Native",73439,"us",666
0,0,2007,"All Origins","Asian or Pacific Islander",226108,"us",666
0,0,2007,"All Origins","Black or African American",695745,"us",666
0,0,2007,"All Origins","White",3152705,"us",666
0,0,2008,"All Origins","American Indian or Alaska Native",77636,"us",666
0,0,2008,"All Origins","Asian or Pacific Islander",235274,"us",666
0,0,2008,"All Origins","Black or African American",696946,"us",666
0,0,2008,"All Origins","White",3122879,"us",666
0,0,2009,"All Origins","American Indian or Alaska Native",77503,"us",666
0,0,2009,"All Origins","Asian or Pacific Islander",228271,"us",666
0,0,2009,"All Origins","Black or African American",683772,"us",666
0,0,2009,"All Origins","White",3014041,"us",666
0,0,2010,"All Origins","American Indian or Alaska Native",77244,"us",666
0,0,2010,"All Origins","Asian or Pacific Islander",224310,"us",666
0,0,2010,"All Origins","Black or African American",670285,"us",666
0,0,2010,"All Origins","White",2979561,"us",666
0,0,2011,"All Origins","American Indian or Alaska Native",75529,"us",666
0,0,2011,"All Origins","Asian or Pacific Islander",220410,"us",666
0,0,2011,"All Origins","Black or African American",671473,"us",666
0,0,2011,"All Origins","White",2995827,"us",666
0,0,2012,"All Origins","American Indian or Alaska Native",77247,"us",666
0,0,2012,"All Origins","Asian or Pacific Islander",227372,"us",666
0,0,2012,"All Origins","Black or African American",669758,"us",666
0,0,2012,"All Origins","White",2952300,"us",666
0,0,2013,"All Origins","American Indian or Alaska Native",76286,"us",666
0,0,2013,"All Origins","Asian or Pacific Islander",239731,"us",666
0,0,2013,"All Origins","Black or African American",672289,"us",666
0,0,2013,"All Origins","White",2943040,"us",666
0,0,2014,"All Origins","American Indian or Alaska Native",76999,"us",666
0,0,2014,"All Origins","Asian or Pacific Islander",239894,"us",666
0,0,2014,"All Origins","Black or African American",679132,"us",666
