Year,Race,Hispanic.Origin,State.Code,measure,attr,mean,lower,upper,overall_value,Population,measure2
2000,American Indian or Alaska Native,All Origins,2,Deaths,attributable,1.23102175605193,1.23102175605193,1.23102175605193,,107715,absolute number
2000,American Indian or Alaska Native,All Origins,2,YLL,attributable,31.6137408784327,31.6137408784327,31.6137408784327,,107715,absolute number
2000,American Indian or Alaska Native,All Origins,4,Deaths,attributable,6.8231768676605,6.8231768676605,6.8231768676605,,278265,absolute number
2000,American Indian or Alaska Native,All Origins,4,YLL,attributable,173.434800490657,173.434800490657,173.434800490657,,278265,absolute number
2000,American Indian or Alaska Native,All Origins,6,Deaths,attributable,37.1267842174659,37.1267842174659,37.1267842174659,,472692,absolute number
2000,American Indian or Alaska Native,All Origins,6,YLL,attributable,864.096382354196,864.096382354196,864.096382354196,,472692,absolute number
2000,American Indian or Alaska Native,All Origins,26,Deaths,attributable,9.35215187619796,9.35215187619796,9.35215187619796,,74025,absolute number
2000,American Indian or Alaska Native,All Origins,26,YLL,attributable,226.592421347204,226.592421347204,226.592421347204,,74025,absolute number
2000,American Indian or Alaska Native,All Origins,35,Deaths,attributable,1.42425552552546,1.42425552552546,1.42425552552546,,185372,absolute number
2000,American Indian or Alaska Native,All Origins,35,YLL,attributable,31.9680242535059,31.9680242535059,31.9680242535059,,185372,absolute number
2000,American Indian or Alaska Native,All Origins,37,Deaths,attributable,19.3657773508482,19.3657773508482,19.3657773508482,,106635,absolute number
2000,American Indian or Alaska Native,All Origins,37,YLL,attributable,468.617383760087,468.617383760087,468.617383760087,,106635,absolute number
2000,American Indian or Alaska Native,All Origins,38,Deaths,attributable,0.238223629496009,0.238223629496009,0.238223629496009,,32765,absolute number
2000,American Indian or Alaska Native,All Origins,38,YLL,attributable,3.15377706460812,3.15377706460812,3.15377706460812,,32765,absolute number
2000,American Indian or Alaska Native,All Origins,40,Deaths,attributable,42.4037426315247,42.4037426315247,42.4037426315247,,312425,absolute number
2000,American Indian or Alaska Native,All Origins,40,YLL,attributable,1097.40230102144,1097.40230102144,1097.40230102144,,312425,absolute number
2000,American Indian or Alaska Native,All Origins,53,Deaths,attributable,4.29042816196965,4.29042816196965,4.29042816196965,,112006,absolute number
2000,American Indian or Alaska Native,All Origins,53,YLL,attributable,112.346055652377,112.346055652377,112.346055652377,,112006,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,6,Deaths,attributable,10.0006381625406,10.0006381625406,10.0006381625406,,225265,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,6,YLL,attributable,212.895586531873,212.895586531873,212.895586531873,,225265,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,26,Deaths,attributable,7.55700400412117,7.55700400412117,7.55700400412117,,66146,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,26,YLL,attributable,160.875013547373,160.875013547373,160.875013547373,,66146,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,40,Deaths,attributable,34.1398799392171,34.1398799392171,34.1398799392171,,301546,absolute number
2000,American Indian or Alaska Native,Not Hispanic or Latino,40,YLL,attributable,742.152316811813,742.152316811813,742.152316811813,,301546,absolute number
2000,Asian or Pacific Islander,All Origins,6,Deaths,attributable,1037.60664245165,1037.60664245165,1037.60664245165,,4133030,absolute number
2000,Asian or Pacific Islander,All Origins,6,YLL,attributable,23306.3097781139,23306.3097781139,23306.3097781139,,4133030,absolute number
2000,Asian or Pacific Islander,All Origins,12,Deaths,attributable,13.6071802308968,13.6071802308968,13.6071802308968,,315422,absolute number
2000,Asian or Pacific Islander,All Origins,12,YLL,attributable,321.523834176806,321.523834176806,321.523834176806,,315422,absolute number
2000,Asian or Pacific Islander,All Origins,15,Deaths,attributable,13.4018351982349,13.4018351982349,13.4018351982349,,816218,absolute number
2000,Asian or Pacific Islander,All Origins,15,YLL,attributable,309.734711852189,309.734711852189,309.734711852189,,816218,absolute number
2000,Asian or Pacific Islander,All Origins,17,Deaths,attributable,38.3381589830122,38.3381589830122,38.3381589830122,,460311,absolute number
2000,Asian or Pacific Islander,All Origins,17,YLL,attributable,868.183315826682,868.183315826682,868.183315826682,,460311,absolute number
2000,Asian or Pacific Islander,All Origins,24,Deaths,attributable,6.38240634032626,6.38240634032626,6.38240634032626,,229606,absolute number
2000,Asian or Pacific Islander,All Origins,24,YLL,attributable,80.1333823664992,80.1333823664992,80.1333823664992,,229606,absolute number
2000,Asian or Pacific Islander,All Origins,25,Deaths,attributable,1.71235104544781,1.71235104544781,1.71235104544781,,259574,absolute number
