Year,Race,Hispanic.Origin,Nation,measure,overall_value
2000,American Indian or Alaska Native,All Origins,us,Deaths,11360
2000,American Indian or Alaska Native,All Origins,us,YLL,380780.676705328
2000,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,277
2000,American Indian or Alaska Native,Hispanic or Latino,us,YLL,11884.283499933
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,11025
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,366917.932162274
2000,Asian or Pacific Islander,All Origins,us,Deaths,34869
2000,Asian or Pacific Islander,All Origins,us,YLL,919265.863633399
2000,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,510
2000,Asian or Pacific Islander,Hispanic or Latino,us,YLL,18133.013832131
2000,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,34224
2000,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,896546.329607802
2000,Black or African American,All Origins,us,Deaths,285754
2000,Black or African American,All Origins,us,YLL,8500228.08219424
2000,Black or African American,Hispanic or Latino,us,Deaths,1519
2000,Black or African American,Hispanic or Latino,us,YLL,55328.338730805
2000,Black or African American,Not Hispanic or Latino,us,Deaths,282627
2000,Black or African American,Not Hispanic or Latino,us,YLL,8388332.84454996
2000,White,All Origins,us,Deaths,2071012
2000,White,All Origins,us,YLL,43935205.6284098
2000,White,Hispanic or Latino,us,Deaths,104894
2000,White,Hispanic or Latino,us,YLL,3369487.8812924
2000,White,Not Hispanic or Latino,us,Deaths,1959830
2000,White,Not Hispanic or Latino,us,YLL,40399511.2291746
2001,American Indian or Alaska Native,All Origins,us,Deaths,11971
2001,American Indian or Alaska Native,All Origins,us,YLL,406847.199791057
2001,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,312
2001,American Indian or Alaska Native,Hispanic or Latino,us,YLL,14278.332368603
2001,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,11623
2001,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,391233.227563792
2001,Asian or Pacific Islander,All Origins,us,Deaths,37040
2001,Asian or Pacific Islander,All Origins,us,YLL,972975.414943692
2001,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,454
2001,Asian or Pacific Islander,Hispanic or Latino,us,YLL,15980.71614539
2001,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,36458
2001,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,953241.39097937
2001,Black or African American,All Origins,us,Deaths,287621
2001,Black or African American,All Origins,us,YLL,8536141.4538987
2001,Black or African American,Hispanic or Latino,us,Deaths,1625
2001,Black or African American,Hispanic or Latino,us,YLL,58522.025277435
2001,Black or African American,Not Hispanic or Latino,us,Deaths,284293
2001,Black or African American,Not Hispanic or Latino,us,YLL,8420691.26080769
2001,White,All Origins,us,Deaths,2079371
2001,White,All Origins,us,YLL,44266439.55463
2001,White,Hispanic or Latino,us,Deaths,110955
2001,White,Hispanic or Latino,us,YLL,3544156.20849536
2001,White,Not Hispanic or Latino,us,Deaths,1962697
2001,White,Not Hispanic or Latino,us,YLL,40574444.2298942
2002,American Indian or Alaska Native,All Origins,us,Deaths,12408
2002,American Indian or Alaska Native,All Origins,us,YLL,418563.998575284
2002,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,304
2002,American Indian or Alaska Native,Hispanic or Latino,us,YLL,12902.707131553
2002,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,12082
2002,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,404871.634185847
2002,Asian or Pacific Islander,All Origins,us,Deaths,38325
2002,Asian or Pacific Islander,All Origins,us,YLL,989577.032981377
2002,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,553
2002,Asian or Pacific Islander,Hispanic or Latino,us,YLL,18699.894789854
2002,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,37633
2002,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,966263.928992335
2002,Black or African American,All Origins,us,Deaths,289994
2002,Black or African American,All Origins,us,YLL,8602114.85578856
2002,Black or African American,Hispanic or Latino,us,Deaths,1767
2002,Black or African American,Hispanic or Latino,us,YLL,63220.662089455
2002,Black or African American,Not Hispanic or Latino,us,Deaths,286534
2002,Black or African American,Not Hispanic or Latino,us,YLL,8481304.04624867
2002,White,All Origins,us,Deaths,2102303
2002,White,All Origins,us,YLL,44693853.9237702
2002,White,Hispanic or Latino,us,Deaths,114453
2002,White,Hispanic or Latino,us,YLL,3656377.57078495
2002,White,Not Hispanic or Latino,us,Deaths,1981851
2002,White,Not Hispanic or Latino,us,YLL,40887993.4485651
2003,American Indian or Alaska Native,All Origins,us,Deaths,13142
2003,American Indian or Alaska Native,All Origins,us,YLL,441791.990856265
2003,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,396
2003,American Indian or Alaska Native,Hispanic or Latino,us,YLL,16778.225327837
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,12720
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,424040.250931354
2003,Asian or Pacific Islander,All Origins,us,Deaths,40122
2003,Asian or Pacific Islander,All Origins,us,YLL,1031275.04812848
2003,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,665
2003,Asian or Pacific Islander,Hispanic or Latino,us,YLL,21887.687178745
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,39317
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1004712.7680278
2003,Black or African American,All Origins,us,Deaths,291260
2003,Black or African American,All Origins,us,YLL,8642101.75570696
2003,Black or African American,Hispanic or Latino,us,Deaths,1788
2003,Black or African American,Hispanic or Latino,us,YLL,63098.111696407
2003,Black or African American,Not Hispanic or Latino,us,Deaths,287948
2003,Black or African American,Not Hispanic or Latino,us,YLL,8528052.8987444
2003,White,All Origins,us,Deaths,2103422
2003,White,All Origins,us,YLL,44770542.3490119
2003,White,Hispanic or Latino,us,Deaths,119130
2003,White,Hispanic or Latino,us,YLL,3815044.95613221
2003,White,Not Hispanic or Latino,us,Deaths,1979344
2003,White,Not Hispanic or Latino,us,YLL,40825268.5801637
2004,American Indian or Alaska Native,All Origins,us,Deaths,13114
2004,American Indian or Alaska Native,All Origins,us,YLL,443941.156363859
2004,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,406
2004,American Indian or Alaska Native,Hispanic or Latino,us,YLL,17406.226879852
2004,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,12672
2004,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,425073.48149639
2004,Asian or Pacific Islander,All Origins,us,Deaths,40530
2004,Asian or Pacific Islander,All Origins,us,YLL,1026788.86617915
2004,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,760
2004,Asian or Pacific Islander,Hispanic or Latino,us,YLL,25727.599251549
2004,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,39666
2004,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,997893.820857376
2004,Black or African American,All Origins,us,Deaths,287251
2004,Black or African American,All Origins,us,YLL,8532800.83056947
2004,Black or African American,Hispanic or Latino,us,Deaths,1976
2004,Black or African American,Hispanic or Latino,us,YLL,73023.903014365
2004,Black or African American,Not Hispanic or Latino,us,Deaths,283825
2004,Black or African American,Not Hispanic or Latino,us,YLL,8410344.1892204
2004,White,All Origins,us,Deaths,2056374
2004,White,All Origins,us,YLL,43964761.6592795
2004,White,Hispanic or Latino,us,Deaths,119226
2004,White,Hispanic or Latino,us,YLL,3797991.83293104
2004,White,Not Hispanic or Latino,us,Deaths,1933269
2004,White,Not Hispanic or Latino,us,YLL,40062764.2040311
2005,American Indian or Alaska Native,All Origins,us,Deaths,13916
2005,American Indian or Alaska Native,All Origins,us,YLL,465019.403491811
2005,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,487
2005,American Indian or Alaska Native,Hispanic or Latino,us,YLL,20395.713662426
2005,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,13398
2005,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,443485.553104571
2005,Asian or Pacific Islander,All Origins,us,Deaths,43193
2005,Asian or Pacific Islander,All Origins,us,YLL,1091584.94269081
2005,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,775
2005,Asian or Pacific Islander,Hispanic or Latino,us,YLL,26180.273914935
2005,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,42323
2005,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1061813.5342369
2005,Black or African American,All Origins,us,Deaths,292761
2005,Black or African American,All Origins,us,YLL,8685729.51745486
2005,Black or African American,Hispanic or Latino,us,Deaths,2389
2005,Black or African American,Hispanic or Latino,us,YLL,88923.763322761
2005,Black or African American,Not Hispanic or Latino,us,Deaths,289125
2005,Black or African American,Not Hispanic or Latino,us,YLL,8552106.53228324
2005,White,All Origins,us,Deaths,2097892
2005,White,All Origins,us,YLL,44684350.2967552
2005,White,Hispanic or Latino,us,Deaths,127454
2005,White,Hispanic or Latino,us,YLL,4033362.28009298
2005,White,Not Hispanic or Latino,us,Deaths,1967069
2005,White,Not Hispanic or Latino,us,YLL,40558770.9443297
2006,American Indian or Alaska Native,All Origins,us,Deaths,14035
2006,American Indian or Alaska Native,All Origins,us,YLL,469853.453666726
2006,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,566
2006,American Indian or Alaska Native,Hispanic or Latino,us,YLL,22431.226601748
2006,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,13426
2006,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,445808.984111426
2006,Asian or Pacific Islander,All Origins,us,Deaths,44700
2006,Asian or Pacific Islander,All Origins,us,YLL,1120878.15530689
2006,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,775
2006,Asian or Pacific Islander,Hispanic or Latino,us,YLL,25737.777123644
2006,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,43793
2006,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1091505.42988468
2006,Black or African American,All Origins,us,Deaths,289939
2006,Black or African American,All Origins,us,YLL,8657282.19531011
2006,Black or African American,Hispanic or Latino,us,Deaths,2143
2006,Black or African American,Hispanic or Latino,us,YLL,81847.263035697
2006,Black or African American,Not Hispanic or Latino,us,Deaths,286562
2006,Black or African American,Not Hispanic or Latino,us,YLL,8533083.50604856
2006,White,All Origins,us,Deaths,2077370
2006,White,All Origins,us,YLL,44456741.9700397
2006,White,Hispanic or Latino,us,Deaths,129484
2006,White,Hispanic or Latino,us,YLL,4101802.55432098
2006,White,Not Hispanic or Latino,us,Deaths,1944525
2006,White,Not Hispanic or Latino,us,YLL,40262861.7308215
2007,American Indian or Alaska Native,All Origins,us,Deaths,14367
2007,American Indian or Alaska Native,All Origins,us,YLL,478955.627603246
2007,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,626
2007,American Indian or Alaska Native,Hispanic or Latino,us,YLL,26358.464792218
2007,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,13711
2007,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,451212.871372674
2007,Asian or Pacific Islander,All Origins,us,Deaths,45601
2007,Asian or Pacific Islander,All Origins,us,YLL,1134981.76100997
2007,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,759
2007,Asian or Pacific Islander,Hispanic or Latino,us,YLL,26565.844655182
2007,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,44756
2007,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1105722.60989773
2007,Black or African American,All Origins,us,Deaths,289540
2007,Black or African American,All Origins,us,YLL,8600414.94337571
2007,Black or African American,Hispanic or Latino,us,Deaths,2133
2007,Black or African American,Hispanic or Latino,us,YLL,79946.327256369
2007,Black or African American,Not Hispanic or Latino,us,Deaths,286335
2007,Black or African American,Not Hispanic or Latino,us,YLL,8483585.75200163
2007,White,All Origins,us,Deaths,2074003
2007,White,All Origins,us,YLL,44308997.3945681
2007,White,Hispanic or Latino,us,Deaths,131974
2007,White,Hispanic or Latino,us,YLL,4156372.82202314
2007,White,Not Hispanic or Latino,us,Deaths,1939525
2007,White,Not Hispanic or Latino,us,YLL,40080856.934193
2008,American Indian or Alaska Native,All Origins,us,Deaths,14773
2008,American Indian or Alaska Native,All Origins,us,YLL,491580.077147423
2008,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,610
2008,American Indian or Alaska Native,Hispanic or Latino,us,YLL,25489.524707758
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,14122
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,464610.587238565
2008,Asian or Pacific Islander,All Origins,us,Deaths,47900
2008,Asian or Pacific Islander,All Origins,us,YLL,1167548.13589129
2008,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,863
2008,Asian or Pacific Islander,Hispanic or Latino,us,YLL,29655.026337858
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,46954
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1135320.50200222
2008,Black or African American,All Origins,us,Deaths,289049
2008,Black or African American,All Origins,us,YLL,8475389.83917893
2008,Black or African American,Hispanic or Latino,us,Deaths,2107
2008,Black or African American,Hispanic or Latino,us,YLL,80278.158499585
2008,Black or African American,Not Hispanic or Latino,us,Deaths,285502
2008,Black or African American,Not Hispanic or Latino,us,YLL,8348455.08604854
2008,White,All Origins,us,Deaths,2120115
2008,White,All Origins,us,YLL,44863561.3381976
2008,White,Hispanic or Latino,us,Deaths,135652
2008,White,Hispanic or Latino,us,YLL,4163086.18926196
2008,White,Not Hispanic or Latino,us,Deaths,1980955
2008,White,Not Hispanic or Latino,us,YLL,40607172.738721
2009,American Indian or Alaska Native,All Origins,us,Deaths,14959
2009,American Indian or Alaska Native,All Origins,us,YLL,499853.041535306
2009,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,673
2009,American Indian or Alaska Native,Hispanic or Latino,us,YLL,26685.867760899
2009,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,14259
2009,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,472189.584280479
2009,Asian or Pacific Islander,All Origins,us,Deaths,49217
2009,Asian or Pacific Islander,All Origins,us,YLL,1190486.14145425
2009,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,943
2009,Asian or Pacific Islander,Hispanic or Latino,us,YLL,34658.062177204
2009,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,48146
2009,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1151595.03522879
2009,Black or African American,All Origins,us,Deaths,286593
2009,Black or African American,All Origins,us,YLL,8391601.80918671
2009,Black or African American,Hispanic or Latino,us,Deaths,2035
2009,Black or African American,Hispanic or Latino,us,YLL,76230.858454817
2009,Black or African American,Not Hispanic or Latino,us,Deaths,282959
2009,Black or African American,Not Hispanic or Latino,us,YLL,8261642.26118128
2009,White,All Origins,us,Deaths,2086139
2009,White,All Origins,us,YLL,44326462.7846421
2009,White,Hispanic or Latino,us,Deaths,137896
2009,White,Hispanic or Latino,us,YLL,4205216.69790393
2009,White,Not Hispanic or Latino,us,Deaths,1944529
2009,White,Not Hispanic or Latino,us,YLL,40007386.4326757
2010,American Indian or Alaska Native,All Origins,us,Deaths,15565
2010,American Indian or Alaska Native,All Origins,us,YLL,505456.576300586
2010,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,692
2010,American Indian or Alaska Native,Hispanic or Latino,us,YLL,25935.763386246
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,14846
2010,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,478382.41447254
2010,Asian or Pacific Islander,All Origins,us,Deaths,51154
2010,Asian or Pacific Islander,All Origins,us,YLL,1218442.80481412
2010,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,946
2010,Asian or Pacific Islander,Hispanic or Latino,us,YLL,32527.152921677
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,50013
2010,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1179205.16183208
2010,Black or African American,All Origins,us,Deaths,286936
2010,Black or African American,All Origins,us,YLL,8228722.9831594
2010,Black or African American,Hispanic or Latino,us,Deaths,2143
2010,Black or African American,Hispanic or Latino,us,YLL,80112.12153354
2010,Black or African American,Not Hispanic or Latino,us,Deaths,283421
2010,Black or African American,Not Hispanic or Latino,us,YLL,8104026.21070067
2010,White,All Origins,us,Deaths,2114654
2010,White,All Origins,us,YLL,44359036.1435591
2010,White,Hispanic or Latino,us,Deaths,140702
2010,White,Hispanic or Latino,us,YLL,4144537.79746867
2010,White,Not Hispanic or Latino,us,Deaths,1969854
2010,White,Not Hispanic or Latino,us,YLL,40101454.1909376
2011,American Indian or Alaska Native,All Origins,us,Deaths,15940
2011,American Indian or Alaska Native,All Origins,us,YLL,515665.976891182
2011,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,730
2011,American Indian or Alaska Native,Hispanic or Latino,us,YLL,28196.264648573
2011,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,15181
2011,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,486480.809672146
2011,Asian or Pacific Islander,All Origins,us,Deaths,53333
2011,Asian or Pacific Islander,All Origins,us,YLL,1255441.34965909
2011,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,865
2011,Asian or Pacific Islander,Hispanic or Latino,us,YLL,28990.604712354
2011,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,52344
2011,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1222651.16755043
2011,Black or African American,All Origins,us,Deaths,290073
2011,Black or African American,All Origins,us,YLL,8287072.18402354
2011,Black or African American,Hispanic or Latino,us,Deaths,1978
2011,Black or African American,Hispanic or Latino,us,YLL,73461.832841551
2011,Black or African American,Not Hispanic or Latino,us,Deaths,286775
2011,Black or African American,Not Hispanic or Latino,us,YLL,8171799.56103915
2011,White,All Origins,us,Deaths,2155978
2011,White,All Origins,us,YLL,45060671.6384397
2011,White,Hispanic or Latino,us,Deaths,146053
2011,White,Hispanic or Latino,us,YLL,4249070.41925608
2011,White,Not Hispanic or Latino,us,Deaths,2006261
2011,White,Not Hispanic or Latino,us,YLL,40710234.0630997
2012,American Indian or Alaska Native,All Origins,us,Deaths,16526
2012,American Indian or Alaska Native,All Origins,us,YLL,535396.032263231
2012,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,776
2012,American Indian or Alaska Native,Hispanic or Latino,us,YLL,29556.639925685
2012,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,15705
2012,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,504497.094385925
2012,Asian or Pacific Islander,All Origins,us,Deaths,56346
2012,Asian or Pacific Islander,All Origins,us,YLL,1315291.29391661
2012,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,890
2012,Asian or Pacific Islander,Hispanic or Latino,us,YLL,28664.436318488
2012,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,55294
2012,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1281552.61271031
2012,Black or African American,All Origins,us,Deaths,295179
2012,Black or African American,All Origins,us,YLL,8368482.75735807
2012,Black or African American,Hispanic or Latino,us,Deaths,2279
2012,Black or African American,Hispanic or Latino,us,YLL,80209.341555336
2012,Black or African American,Not Hispanic or Latino,us,Deaths,291148
2012,Black or African American,Not Hispanic or Latino,us,YLL,8232744.70134
2012,White,All Origins,us,Deaths,2175081
2012,White,All Origins,us,YLL,45324154.2300466
2012,White,Hispanic or Latino,us,Deaths,152467
2012,White,Hispanic or Latino,us,YLL,4372641.64067847
2012,White,Not Hispanic or Latino,us,Deaths,2016830
2012,White,Not Hispanic or Latino,us,YLL,40805312.763721
2013,American Indian or Alaska Native,All Origins,us,Deaths,17048
2013,American Indian or Alaska Native,All Origins,us,YLL,539946.716841427
2013,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,780
2013,American Indian or Alaska Native,Hispanic or Latino,us,YLL,28916.58940814
2013,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,16218
2013,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,509191.474404247
2013,Asian or Pacific Islander,All Origins,us,Deaths,59868
2013,Asian or Pacific Islander,All Origins,us,YLL,1379031.70944721
2013,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,948
2013,Asian or Pacific Islander,Hispanic or Latino,us,YLL,30620.632090049
2013,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,58702
2013,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1342241.75641402
2013,Black or African American,All Origins,us,Deaths,302943
2013,Black or African American,All Origins,us,YLL,8534200.40350467
2013,Black or African American,Hispanic or Latino,us,Deaths,2298
2013,Black or African American,Hispanic or Latino,us,YLL,83857.043457146
2013,Black or African American,Not Hispanic or Latino,us,Deaths,299207
2013,Black or African American,Not Hispanic or Latino,us,YLL,8405843.41617372
2013,White,All Origins,us,Deaths,2217002
2013,White,All Origins,us,YLL,46040823.4034237
2013,White,Hispanic or Latino,us,Deaths,159208
2013,White,Hispanic or Latino,us,YLL,4503481.9437663
2013,White,Not Hispanic or Latino,us,Deaths,2052610
2013,White,Not Hispanic or Latino,us,YLL,41403228.8182712
2014,American Indian or Alaska Native,All Origins,us,Deaths,18008
2014,American Indian or Alaska Native,All Origins,us,YLL,570337.9107274
2014,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,813
2014,American Indian or Alaska Native,Hispanic or Latino,us,YLL,30049.978658487
2014,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,17138
2014,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,538514.323006613
2014,Asian or Pacific Islander,All Origins,us,Deaths,61568
2014,Asian or Pacific Islander,All Origins,us,YLL,1411589.62093899
2014,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,876
2014,Asian or Pacific Islander,Hispanic or Latino,us,YLL,28428.303096174
2014,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,60424
2014,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1376439.13384663
2014,Black or African American,All Origins,us,Deaths,308934
2014,Black or African American,All Origins,us,YLL,8680483.59917392
2014,Black or African American,Hispanic or Latino,us,Deaths,3324
2014,Black or African American,Hispanic or Latino,us,YLL,113695.207437217
2014,Black or African American,Not Hispanic or Latino,us,Deaths,303824
2014,Black or African American,Not Hispanic or Latino,us,YLL,8512150.25687332
2014,White,All Origins,us,Deaths,2237745
2014,White,All Origins,us,YLL,46648151.1707193
2014,White,Hispanic or Latino,us,Deaths,164368
2014,White,Hispanic or Latino,us,YLL,4640002.97396242
2014,White,Not Hispanic or Latino,us,Deaths,2066852
2014,White,Not Hispanic or Latino,us,YLL,41842040.4333066
2015,American Indian or Alaska Native,All Origins,us,Deaths,19016
2015,American Indian or Alaska Native,All Origins,us,YLL,601078.202804834
2015,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,921
2015,American Indian or Alaska Native,Hispanic or Latino,us,YLL,34748.170966905
2015,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,18039
2015,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,564489.941430369
2015,Asian or Pacific Islander,All Origins,us,Deaths,66677
2015,Asian or Pacific Islander,All Origins,us,YLL,1514548.00717129
2015,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,1066
2015,Asian or Pacific Islander,Hispanic or Latino,us,YLL,36875.657910747
2015,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,65276
2015,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1468588.25982399
2015,Black or African American,All Origins,us,Deaths,320046
2015,Black or African American,All Origins,us,YLL,9012140.13207741
2015,Black or African American,Hispanic or Latino,us,Deaths,2808
2015,Black or African American,Hispanic or Latino,us,YLL,102936.112981974
2015,Black or African American,Not Hispanic or Latino,us,Deaths,315237
2015,Black or African American,Not Hispanic or Latino,us,YLL,8847609.72642007
2015,White,All Origins,us,Deaths,2306753
2015,White,All Origins,us,YLL,47972101.8964576
2015,White,Hispanic or Latino,us,Deaths,174656
2015,White,Hispanic or Latino,us,YLL,4889682.66823064
2015,White,Not Hispanic or Latino,us,Deaths,2123574
2015,White,Not Hispanic or Latino,us,YLL,42875104.2068135
2016,American Indian or Alaska Native,All Origins,us,Deaths,19706
2016,American Indian or Alaska Native,All Origins,us,YLL,625142.518464636
2016,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,995
2016,American Indian or Alaska Native,Hispanic or Latino,us,YLL,37086.096314861
2016,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,18593
2016,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,584312.621799511
2016,Asian or Pacific Islander,All Origins,us,Deaths,69652
2016,Asian or Pacific Islander,All Origins,us,YLL,1593499.33035756
2016,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,1148
2016,Asian or Pacific Islander,Hispanic or Latino,us,YLL,40079.063298882
2016,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,68232
2016,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,1545872.15681546
2016,Black or African American,All Origins,us,Deaths,331766
2016,Black or African American,All Origins,us,YLL,9395857.05591107
2016,Black or African American,Hispanic or Latino,us,Deaths,3285
2016,Black or African American,Hispanic or Latino,us,YLL,119389.405060185
