Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,value,Education,source,measure1,measure2
1997,A,All,25,34,All Origins,1,29,all-cause,overall,194.932995010912,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,all-cause,overall,399.782398838474,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,all-cause,overall,605.447804141721,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,all-cause,overall,1001.29896407238,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,all-cause,overall,1950.81009838201,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,all-cause,overall,2723.6175879063,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,all-cause,overall,2358.34482118056,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,29,cvd_ihd,total,1.22599367931391,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,cvd_ihd,total,16.9519038376738,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,cvd_ihd,total,58.7374735361371,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,cvd_ihd,total,100.930935578496,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,cvd_ihd,total,154.472309831066,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,cvd_ihd,total,303.894943821578,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,cvd_ihd,total,288.864904970927,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,cvd_stroke,total,2.82531730627897,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,cvd_stroke,total,7.53044532514578,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,cvd_stroke,total,14.4187050826423,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,cvd_stroke,total,15.9249803949552,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,cvd_stroke,total,14.7045940558828,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,cvd_stroke,total,14.3713883070113,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,lri,total,1.50608906502916,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,lri,total,3.18499607899104,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,29,ncd_lri,total,62.5256776450095,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,ncd_lri,total,259.929192177665,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,ncd_lri,total,515.082460239972,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,ncd_lri,total,919.592968604076,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,ncd_lri,total,1815.44776502489,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,ncd_lri,total,2462.20258246838,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,ncd_lri,total,2050.79711141051,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,29,neo_lung,total,1.22599367931391,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,neo_lung,total,9.88861057197638,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,neo_lung,total,28.615692235554,666,nvss,Deaths,age-adjusted rate
1997,A,All,55,64,All Origins,1,29,neo_lung,total,144.187050826423,666,nvss,Deaths,age-adjusted rate
1997,A,All,65,74,All Origins,1,29,neo_lung,total,246.837196121806,666,nvss,Deaths,age-adjusted rate
1997,A,All,75,84,All Origins,1,29,neo_lung,total,168.285909750659,666,nvss,Deaths,age-adjusted rate
1997,A,All,85,150,All Origins,1,29,neo_lung,total,45.9884425824362,666,nvss,Deaths,age-adjusted rate
1997,A,All,25,34,All Origins,1,29,resp_copd,total,1.22599367931391,666,nvss,Deaths,age-adjusted rate
1997,A,All,35,44,All Origins,1,29,resp_copd,total,4.23797595941845,666,nvss,Deaths,age-adjusted rate
1997,A,All,45,54,All Origins,1,29,resp_copd,total,4.51826719508747,666,nvss,Deaths,age-adjusted rate
