Year,Education,Gender.Code,Race,Hispanic.Origin,label_cause,attr,nation,source,min_age,max_age,value,measure1,measure2
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,0,4,123.475612614217,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,5,9,64.5668090017743,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,10,14,79.2227109220829,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,15,17,94.0269643516349,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,18,19,86.6037829554532,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,20,20,39.2483350312245,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,21,21,46.1745118014406,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,22,24,92.3490236028812,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,25,29,171.44649787978,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,30,34,209.626878393597,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,35,39,340.741649970718,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,40,44,359.172694742061,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,45,49,329.54023863595,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,50,54,366.777314895061,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,55,59,414.081307592804,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,60,61,133.412148080343,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,62,64,250.653126696402,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,65,66,165.582401640853,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,67,69,259.097851272216,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,70,74,381.197848955057,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,75,79,321.692152978915,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,80,84,225.560493936334,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,all-cause,overall,us,nvss,85,150,174.308012662792,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,22,24,2.30872559007203,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,25,29,2.14308122349725,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,30,34,1.97761206031695,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,35,39,7.24982233980251,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,40,44,21.4185551910403,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,45,49,20.7818168509158,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,50,54,37.07496323849,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,55,59,51.3227536171363,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,60,61,17.1818675558017,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,62,64,40.42792366071,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,65,66,38.6072957193699,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,67,69,36.0334760047452,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,70,74,51.2056812029181,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,75,79,61.7100400030602,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,80,84,43.7852723523471,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_ihd,total,us,nvss,85,150,40.3619007754932,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,25,29,6.42924367049174,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,30,34,1.97761206031695,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,35,39,1.81245558495063,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,40,44,6.59032467416625,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,45,49,13.3597394041601,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,50,54,9.26874080962249,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,55,59,6.99855731142768,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,60,61,1.01069809151775,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,62,64,5.05349045758875,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,67,69,6.86351923899909,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,70,74,12.8014203007295,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,75,79,14.2847314821899,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,80,84,11.0568869576634,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,cvd_stroke,total,us,nvss,85,150,5.73772118867305,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,5,9,2.80725256529453,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,35,39,1.81245558495063,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,40,44,3.29516233708313,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,50,54,1.32410582994607,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,55,59,2.33285243714256,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,62,64,2.0213961830355,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,70,74,0.711190016707196,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,75,79,1.71416777786278,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,80,84,2.21137739153268,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,lri,total,us,nvss,85,150,0.791409819127317,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,35,39,3.62491116990126,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,40,44,6.59032467416625,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,45,49,11.875323914809,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,50,54,17.2133757892989,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,55,59,29.160655464282,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,60,61,9.09628282365974,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,62,64,17.1818675558017,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,65,66,11.1532187633735,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,67,69,21.4484976218722,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,70,74,31.2923607351166,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,75,79,13.7133422229023,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,80,84,6.19185669629151,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,neo_lung,total,us,nvss,85,150,2.76993436694561,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,0,4,2.93989553843373,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,35,39,1.81245558495063,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,45,49,2.96883097870225,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,50,54,2.64821165989214,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,55,59,16.3299670599979,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,60,61,3.03209427455325,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,62,64,9.09628282365974,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,65,66,9.43733895362375,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,67,69,18.0167380023726,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,70,74,26.3140306181663,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,75,79,14.8561207414774,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,80,84,9.28778504443727,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,resp_copd,total,us,nvss,85,150,6.7269834625822,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,30,34,1.97761206031695,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,35,39,1.81245558495063,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,45,49,1.48441548935113,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,50,54,2.64821165989214,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,55,59,6.99855731142768,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,60,61,3.03209427455325,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,62,64,3.03209427455325,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,65,66,1.71587980974977,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,67,69,3.43175961949955,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,70,74,8.53428020048635,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,75,79,5.71389259287594,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,80,84,4.42275478306537,YLL,crude rate
2000,666,F,American Indian or Alaska Native,All Origins,t2_dm,total,us,nvss,85,150,1.38496718347281,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,0,4,40.1774389146676,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,5,9,12.7882342513723,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,10,14,24.0595519815428,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,15,17,11.2719204247826,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,18,19,33.8157612743479,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,20,20,21.0344619739487,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,25,29,9.76265016002398,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,35,39,24.7695275556279,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,40,44,45.0326148603918,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,45,49,33.8107323132787,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,50,54,36.1912050300644,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,55,59,47.8221258535754,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,60,61,4.60416141801187,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,62,64,32.2291299260831,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,65,66,15.6331305743971,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,67,69,39.0828264359927,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,70,74,16.1988711727026,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,75,79,23.4262987525282,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,80,84,16.1180293932785,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,all-cause,overall,us,nvss,85,150,8.11172180663502,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,55,59,10.6271390785723,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,62,64,4.60416141801187,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,65,66,3.90828264359927,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,67,69,11.7248479307978,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,70,74,3.23977423454053,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,75,79,13.0146104180712,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,80,84,4.02950734831963,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_ihd,total,us,nvss,85,150,0.901302422959447,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,total,us,nvss,75,79,2.60292208361424,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,total,us,nvss,80,84,2.01475367415982,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,cvd_stroke,total,us,nvss,85,150,1.80260484591889,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,lri,total,us,nvss,62,64,4.60416141801187,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,lri,total,us,nvss,75,79,2.60292208361424,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,lri,total,us,nvss,85,150,0.901302422959447,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,neo_lung,total,us,nvss,55,59,5.31356953928615,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,neo_lung,total,us,nvss,65,66,3.90828264359927,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,resp_copd,total,us,nvss,50,54,6.03186750501074,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,resp_copd,total,us,nvss,65,66,3.90828264359927,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,resp_copd,total,us,nvss,80,84,4.02950734831963,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Hispanic or Latino,resp_copd,total,us,nvss,85,150,0.901302422959447,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,1,1,45.2012525451239,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,2,2,37.66771045427,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,3,3,33.900939408843,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,4,4,30.134168363416,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,5,5,7.19364177530314,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,6,6,17.9841044382578,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,7,7,17.9841044382578,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,8,8,7.19364177530314,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,9,9,28.7745671012126,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,10,10,10.1504903742437,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,11,11,23.6844775399019,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,12,12,13.5339871656582,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,13,13,23.6844775399019,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,all-cause,overall,us,nvss,14,14,23.6844775399019,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,lri,total,us,nvss,6,6,3.59682088765157,YLL,crude rate
2000,666,F,American Indian or Alaska Native,Not Hispanic or Latino,resp_copd,total,us,nvss,1,1,3.766771045427,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,0,4,54.0133908432195,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,5,9,32.5001976367429,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,10,14,35.2249996324017,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,15,17,31.7603790971408,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,18,19,26.7783588466089,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,20,20,11.621147014449,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,21,21,13.3643190666164,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,22,24,44.1603586549062,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,25,29,66.3422849930583,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,30,34,95.5628324377118,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,35,39,119.05689803535,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,40,44,172.499099785629,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,45,49,214.817671623947,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,50,54,231.608335398762,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,55,59,240.429557816274,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,60,61,85.7231318583324,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,62,64,162.797639137486,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,65,66,113.576712937982,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,67,69,178.138380558622,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,70,74,308.223311171828,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,75,79,309.903178001594,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,80,84,248.669609607366,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,all-cause,overall,us,nvss,85,150,184.989442686357,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,10,14,0.664622634573616,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,30,34,0.995446171226164,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,35,39,1.82462678981379,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,40,44,4.97593557073931,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,45,49,9.33989876625857,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,50,54,15.6627219622184,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,55,59,25.2465713946271,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,60,61,11.7010803130068,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,62,64,21.8759327590997,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,65,66,15.1147716837618,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,67,69,28.5021408893795,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,70,74,58.8881935978696,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,75,79,72.3347092968917,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,80,84,55.5443756464081,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_ihd,total,us,nvss,85,150,49.2475259264622,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_stroke,total,us,nvss,0,4,0.739909463605746,YLL,crude rate
2000,666,F,Asian or Pacific Islander,All Origins,cvd_stroke,total,us,nvss,5,9,0.706526035581367,YLL,crude rate
