Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,0,4,292.640558331636,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,5,9,119.371199178132,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,10,14,216.926576980906,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,15,19,655.21642267073,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,20,24,633.659644903535,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,25,29,548.845234986035,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,30,34,632.607721549475,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,35,39,930.094950812199,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,40,44,956.944353710434,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,45,49,1071.62163273339,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,50,54,1040.34799901431,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,55,59,928.859179907359,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,60,64,927.91980419929,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,65,69,880.535313803198,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,70,74,791.090862303795,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,75,79,634.479353004989,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,80,84,426.995936350079,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,all-cause,overall,nvss,85,150,268.456512280468,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,20,24,6.69358779827677,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,25,29,2.07111409428692,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,30,34,19.1120157567817,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,35,39,31.5286424004135,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,40,44,73.2436610161065,YLL,crude rate
2001,666,A,American Indian or Alaska Native,All Origins,us,cvd_ihd,total,nvss,45,49,110.461667631152,YLL,crude rate
