Year,Education,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,value,label_cause,attr,source,measure1,measure2
2003,666,A,American Indian or Alaska Native,0,0,All Origins,us,898.912620112071,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,0,0,Hispanic or Latino,us,303.572727013283,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,0,0,Not Hispanic or Latino,us,1116.2229242546,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,1,1,All Origins,us,79.7103426256737,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,1,1,Hispanic or Latino,us,29.0899559344819,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,1,1,Not Hispanic or Latino,us,98.8162819803566,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,2,2,All Origins,us,79.7103426256737,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,2,2,Hispanic or Latino,us,9.69665197816062,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,2,2,Not Hispanic or Latino,us,106.136006571494,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,3,3,All Origins,us,42.5121827336926,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,3,3,Not Hispanic or Latino,us,58.5577967291002,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,4,4,All Origins,us,50.48321699626,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,4,4,Hispanic or Latino,us,9.69665197816062,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,4,4,Not Hispanic or Latino,us,65.8775213202378,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,5,5,All Origins,us,45.6683703671274,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,5,5,Hispanic or Latino,us,18.5183118138694,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,5,5,Not Hispanic or Latino,us,55.9157707941356,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,6,6,All Origins,us,25.3713168706263,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,6,6,Not Hispanic or Latino,us,34.9473567463348,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,7,7,All Origins,us,30.4455802447516,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,7,7,Hispanic or Latino,us,18.5183118138694,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,7,7,Not Hispanic or Latino,us,34.9473567463348,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,8,8,All Origins,us,15.2227901223758,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,8,8,Not Hispanic or Latino,us,20.9684140478009,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,9,9,All Origins,us,22.8341851835637,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,9,9,Hispanic or Latino,us,18.5183118138694,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,9,9,Not Hispanic or Latino,us,24.4631497224343,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,10,10,All Origins,us,19.0932541612935,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,10,10,Not Hispanic or Latino,us,26.2997292582667,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,11,11,All Origins,us,26.2532244717786,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,11,11,Not Hispanic or Latino,us,36.1621277301167,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,12,12,All Origins,us,28.6398812419403,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,12,12,Hispanic or Latino,us,17.4200079908764,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,12,12,Not Hispanic or Latino,us,32.8746615728333,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,13,13,All Origins,us,54.8931057137189,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,13,13,Hispanic or Latino,us,26.1300119863146,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,13,13,Not Hispanic or Latino,us,65.7493231456667,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,14,14,All Origins,us,66.8263895645274,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,14,14,Hispanic or Latino,us,34.8400159817528,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,14,14,Not Hispanic or Latino,us,78.8991877748,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,15,15,All Origins,us,80.5068513117861,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,15,15,Hispanic or Latino,us,8.16128845719449,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,15,15,Not Hispanic or Latino,us,107.812646996685,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,16,16,All Origins,us,107.342468415715,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,16,16,Hispanic or Latino,us,24.4838653715835,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,16,16,Not Hispanic or Latino,us,138.616260424309,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,17,17,All Origins,us,127.469181243661,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,17,17,Hispanic or Latino,us,40.8064422859724,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,17,17,Not Hispanic or Latino,us,160.178789823646,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,18,18,All Origins,us,156.541099772917,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,18,18,Hispanic or Latino,us,24.4838653715835,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,18,18,Not Hispanic or Latino,us,203.303848622319,all-cause,overall,nvss,YLL,crude rate
2003,666,A,American Indian or Alaska Native,19,19,All Origins,us,169.958908324882,all-cause,overall,nvss,YLL,crude rate
