Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,All,25,34,All Origins,666,us,all-cause,overall,14.46239780889,666,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,all-cause,overall,28.0769610569709,666,nvss,Deaths,age-adjusted rate
2013,A,All,45,54,All Origins,666,us,all-cause,overall,54.8917056156781,666,nvss,Deaths,age-adjusted rate
2013,A,All,55,64,All Origins,666,us,all-cause,overall,75.2251222225223,666,nvss,Deaths,age-adjusted rate
2013,A,All,65,74,All Origins,666,us,all-cause,overall,119.256755677102,666,nvss,Deaths,age-adjusted rate
2013,A,All,75,84,All Origins,666,us,all-cause,overall,208.691756713602,666,nvss,Deaths,age-adjusted rate
2013,A,All,85,150,All Origins,666,us,all-cause,overall,212.87601588995,666,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,all-cause,overall,5.08174874594539,higher,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,all-cause,overall,11.7858906485367,higher,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,all-cause,overall,70.0546287422006,higher,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,all-cause,overall,414.822619541773,higher,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,all-cause,overall,26.0021033081956,lower,nvss,Deaths,age-adjusted rate
2013,A,All,35,44,All Origins,666,us,all-cause,overall,45.6633841403862,lower,nvss,Deaths,age-adjusted rate
2013,A,All,45,64,All Origins,666,us,all-cause,overall,209.481482571794,lower,nvss,Deaths,age-adjusted rate
2013,A,All,65,150,All Origins,666,us,all-cause,overall,694.687916072151,lower,nvss,Deaths,age-adjusted rate
2013,A,All,25,34,All Origins,666,us,all-cause,overall,11.3259005437265,middle,nvss,Deaths,age-adjusted rate
