Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,0,4,1247.08694326615,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,5,9,129.86314634758,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,10,14,170.564532532894,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,15,19,561.527112553259,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,20,24,671.034909290464,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,25,29,587.349824325869,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,30,34,657.649722903251,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,35,39,816.292184239348,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,40,44,975.001035984175,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,45,49,1079.26735918188,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,50,54,1047.0790234189,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,55,59,1024.19775041902,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,60,64,941.27045897537,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,65,69,881.37736918843,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,70,74,715.099862550635,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,75,79,600.464204973856,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,80,84,452.04151292014,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,85,150,259.554753769232,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,0,4,510.638480884701,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,5,9,61.2562011073489,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,10,14,73.7576356899003,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,15,19,192.215050066308,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,20,24,191.436385533316,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,25,29,172.089757445796,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,30,34,245.108295675227,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,35,39,281.589164330628,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,40,44,386.83669421791,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,45,49,421.082703162196,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,50,54,426.459337352732,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,55,59,416.398488987453,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,60,64,398.738751131084,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,65,69,396.881907960805,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,70,74,356.308438458389,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,75,79,285.270369804855,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,80,84,253.621924840762,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,85,150,169.064606746559,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,0,4,736.448462381453,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,5,9,68.6069452402308,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,10,14,96.8068968429942,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,15,19,369.312062486951,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,20,24,479.598523757148,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,25,29,415.260066880073,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,30,34,412.541427228024,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,35,39,534.70301990872,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,40,44,588.164341766265,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,45,49,658.184656019679,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,50,54,620.61968606617,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,55,59,607.799261431564,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,60,64,542.531707844285,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,65,69,484.495461227625,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,70,74,358.791424092246,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,75,79,315.193835169001,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,80,84,198.419588079378,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,all-cause,M,us,666,overall,wonder,85,150,90.490147022673,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,0,4,5.1320450340171,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,5,9,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,10,14,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,15,19,0,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,20,24,2.01511984771911,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,25,29,16.8348675762192,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,30,34,20.713377099315,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,35,39,33.2211935446246,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,40,44,67.5885673912334,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,45,49,104.946766018886,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,50,54,134.063097921184,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,55,59,148.641025408724,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,60,64,146.439452849027,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,65,69,156.506261818506,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,70,74,124.770028101283,YLL,crude rate
2004,American Indian or Alaska Native,All Origins,cvd_ihd,A,us,666,total,wonder,75,79,108.721924156396,YLL,crude rate
