Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,A,di_coxme,69.8199943384035,54.5468705768777,85.0931180999292
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,A,di_coxme,101.820825076838,84.3658264922376,119.275823661439
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,B,di_coxme,35.5834163668269,27.7995440365834,43.3672886970702
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,B,di_coxme,51.8924822016224,42.9966281099158,60.7883362933291
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,C,di_coxme,15.2505644554808,11.9145034808444,18.5866254301173
1991,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,529.533488037529,25,150,C,di_coxme,22.2404064975762,18.427765383706,26.0530476114464
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,A,di_gee,345.381030007928,330.436658517201,360.325401498656
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,A,di_gee,358.664915777464,342.060058565544,373.609287268192
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,B,di_gee,173.320890736896,165.821429118473,180.82035235532
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,B,di_gee,179.987078842162,171.65434371058,187.486540460585
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,C,di_gee,74.280679013449,71.066611171521,77.4947468553771
1991,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1190.3954970104,25,150,C,di_gee,77.137628206274,73.5664417152428,80.3516960482021
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,A,di_gee,76.1156373888834,72.4910832275081,78.5320068298003
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,A,di_gee,82.1565609911759,78.5320068298003,84.5729304320928
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,B,di_gee,41.1899092052573,39.2284849573879,42.4975253705035
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,B,di_gee,44.458949618373,42.4975253705035,45.7665657836193
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,C,di_gee,17.6542478112928,16.8135693440884,18.2147001227624
1991,1,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,934.087185782688,25,150,C,di_gee,19.0553785899669,18.2147001227624,19.6158309014365
1991,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,407.486874308231,25,150,A,di_coxme,0,0,0
1991,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,407.486874308231,25,150,A,di_coxme,0,0,0
1991,2,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,407.486874308231,25,150,B,di_coxme,0,0,0
