Year,Gender.Code,Race,Hispanic.Origin,rural_urban_class,STATEFP,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1999,A,All,All Origins,1,5,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,278.356480758088,270.730275805811,285.982685710364
1999,A,All,All Origins,1,5,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,234.418322296142,227.995902507207,240.840742085078
1999,A,All,All Origins,1,5,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,167.441658782959,162.854216076576,172.029101489341
1999,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,91.6156460465617,89.1056283466559,94.1256637464675
1999,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,91.6156460465617,89.1056283466559,94.1256637464675
1999,A,All,All Origins,1,8,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,91.6156460465617,89.1056283466559,94.1256637464675
1999,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,454756.124813307,442297.052900614,467215.196726001
1999,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,405163.358080135,394062.992105336,416263.724054933
1999,A,All,All Origins,1,12,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,292452.524595652,284440.126661524,300464.922529779
1999,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3222.16098151865,3133.88259846335,3310.43936457396
1999,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1800.8961509777,1751.55653040297,1850.23577155244
1999,A,All,All Origins,1,13,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1286.3543935555,1251.11180743069,1321.59697968031
1999,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,8440.84880583226,8209.59267416563,8672.1049374989
1999,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,7565.88766118121,7358.60306772419,7773.17225463823
1999,A,All,All Origins,1,17,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,5404.20547227229,5256.14504837442,5552.26589617017
1999,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2884.46752334116,2805.44101585236,2963.49403082996
1999,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2884.46752334116,2805.44101585236,2963.49403082996
1999,A,All,All Origins,1,26,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2884.46752334116,2805.44101585236,2963.49403082996
1999,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3372.15123451894,3279.76352946362,3464.53893957425
1999,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,3372.15123451894,3279.76352946362,3464.53893957425
1999,A,All,All Origins,1,27,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,3372.15123451894,3279.76352946362,3464.53893957425
1999,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1376.13355682867,1338.43126760049,1413.83584605685
1999,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1318.07886125887,1281.96711163534,1354.1906108824
1999,A,All,All Origins,1,29,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1006.14403943997,978.578449318328,1033.70962956161
1999,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,4364926.10814659,4245339.09148504,4484513.12480815
1999,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,4364926.10814659,4245339.09148504,4484513.12480815
1999,A,All,All Origins,1,34,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,3326925.38730686,3235776.74655872,3418074.02805499
1999,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1198.29645468428,1165.46641482991,1231.12649453864
1999,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1156.07075298005,1124.39758166553,1187.74392429457
1999,A,All,All Origins,1,37,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,886.431462751191,862.145669251158,910.717256251224
1999,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,5176.79198253045,5034.96206520085,5318.62189986005
1999,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,4152.97289102636,4039.19281182016,4266.75297023256
1999,A,All,All Origins,1,39,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,2966.40920787597,2885.13772272869,3047.68069302326
1999,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,9453.13300191589,9194.14305665792,9712.12294717386
1999,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,7415.72340222615,7212.55289805557,7618.89390639673
1999,A,All,All Origins,1,47,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,5296.94528730439,5151.82349861112,5442.06707599767
1999,A,All,All Origins,1,48,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,417.229645881116,405.798696678894,428.660595083339
1999,A,All,All Origins,1,48,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,338.197239112349,328.931561328449,347.462916896249
