Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,method,mean,lower,upper,attr,min_age,max_age
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,24.8228080560702,19.3928187938048,30.2527973183356,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,36.1999284151024,29.9942264010849,42.4056304291199,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,24.4212125016157,19.0790722668872,29.7633527363441,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,35.6142682315228,29.508965106119,41.7195713569268,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.8247469263924,18.6130835362441,29.0364103165408,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.7444226009889,28.7882358693909,40.700609332587,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.7157071715205,18.5278962277503,28.9035181152906,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.5854062918006,28.6564794989206,40.5143330846808,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.7426604027522,18.5489534396502,28.9363673658543,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.624713087347,28.689047986659,40.560378188035,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.5551353500804,18.4024494922503,28.7078212079104,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.3512390522005,28.4624552146804,40.2400228897205,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.5694045864381,18.4135973331547,28.7252118397214,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.3720483552222,28.4796972086127,40.2643995018317,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.6703530417429,18.4924633138616,28.8482427696242,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.5192648525417,28.601676592106,40.4368531129775,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.7341166846835,18.542278659909,28.925954709458,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.6122534984967,28.6787243273259,40.5457826696676,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.5887775344404,18.4287324487815,28.7488226200992,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.4003005710588,28.5031061874488,40.2974949546689,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.5572845606608,18.4041285630162,28.7104405583053,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.3543733176303,28.4650521774651,40.2436944577955,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.9227583740286,18.6896549797098,29.1558617683473,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.887355962125,28.9066663686179,40.8680455556321,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,23.6630368536478,18.4867475419123,28.8393261653832,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_coxme,34.5085954115696,28.5928361981577,40.4243546249815,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.9630091306788,18.7211008833428,29.2049173780148,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.9460549822399,28.9553026995702,40.9368072649096,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.721754128137,18.532620412607,28.9108878436669,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.5942247701997,28.6637862381655,40.5246633022339,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.3470938323779,18.2399170565452,28.4542706082106,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.0478451722177,28.2110717141233,39.8846186303122,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.2953534449543,18.1994948788705,28.391212011038,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.9723904405583,28.1485520793198,39.7962288017968,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.3742717178984,18.2611497796081,28.4873936561886,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.0874795886018,28.2439116591272,39.9310475180764,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.195624180354,18.1215813909015,28.2696669698064,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.8269519296829,28.0280458845944,39.6258579747714,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.1848556204171,18.1131684534508,28.2565427873833,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.8112477797749,28.0150338746706,39.6074616848791,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.2944821908977,18.1988142116388,28.3901501701565,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.9711198617257,28.1474993140013,39.7947404094501,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.3202785570634,18.2189676227057,28.4215894914209,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.008739562384,28.1786699231182,39.8388092016498,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.2425948999859,18.158277265614,28.3269125343578,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.8954508958128,28.0848021708163,39.7060996208093,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.1046705939095,18.0505239014918,28.1588172863272,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.6943112827847,27.9181436343074,39.4704789312621,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.5025097227662,18.3613357209111,28.6436837246213,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,34.2744933457007,28.3988659150092,40.1501207763922,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,23.2900056344556,18.1953169019184,28.3846943669928,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,di_coxme,33.9645915502478,28.1420901416339,39.7870929588617,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5852403829789,9.05096904920222,14.1195117167555,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8951422251775,13.9988321294328,19.7914523209222,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5876188481868,9.05282722514593,14.1224104712277,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8986108202724,14.0017061082257,19.7955155323191,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5843871564123,9.05030246594707,14.1184718468774,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8938979364345,13.9978011473315,19.7899947255376,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5844928808536,9.0503850631669,14.1186006985404,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8940521179115,13.9979288976982,19.790175338125,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5841812720108,9.05014161875845,14.1182209252632,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8935976883491,13.9975523703464,19.7896430063518,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5850173586684,9.05079481145969,14.1192399058771,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8948169813914,13.9985626417243,19.7910713210585,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5856251894305,9.05126967924253,14.1199806996184,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8957034012527,13.9992971038951,19.7921096986103,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5840410232987,9.05003204945213,14.1180499971453,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8933931589773,13.9973829031526,19.789403414802,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5876567874008,9.05285686515687,14.1224567096447,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8986661482928,14.0017519514427,19.795580345143,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5868506702055,9.05222708609799,14.1214742543129,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8974905607163,14.0007778931649,19.7942032282676,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5776860935721,9.04506726060323,14.110304926541,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.884125553126,13.989704029733,19.7785470765191,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5776180931695,9.04501413528869,14.1102220510504,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.8840263858722,13.9896218625799,19.7784309091646,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,11.5880081848965,9.05313139445038,14.1228849753426,attributable,25,150
2010,1,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,di_coxme,16.899178602974,14.0021765567499,19.7961806491982,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,136.025825872427,130.140093022178,141.911558722676,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,141.257588405982,134.717885239038,147.143321256231,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,134.58824541509,128.764715565399,140.411775264782,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,139.764716392594,133.294127670715,145.588246242285,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,133.696013191209,127.911089543512,139.480936838905,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,138.838167544717,132.410474602832,144.623091192413,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,133.143234734123,127.38222938505,138.904240083195,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,138.264128377743,131.863011323218,144.025133726815,attributable,25,150
2010,1,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,di_gee,133.243689420546,127.478337474465,139.009041366627,attributable,25,150
