Year,Race,Hispanic.Origin,Education,rural_urban_class,Gender.Code,STATEFP,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2004,American Indian or Alaska Native,All Origins,666,1,A,1,Deaths,age-adjusted rate,attributable,55,150,A,6.72934289610266,4.61595106495507,9.52860369643295,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,1,Deaths,age-adjusted rate,attributable,55,150,B,5.56363596749515,3.6159751551545,8.23593547520116,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,1,Deaths,age-adjusted rate,attributable,55,150,D,4.28820328508715,2.56793327521197,6.76874782462136,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,4,Deaths,age-adjusted rate,attributable,25,150,A,10.087359527043,5.91857863679299,16.0315448303049,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,4,Deaths,age-adjusted rate,attributable,25,150,B,10.087359527043,5.91857863679299,16.0315448303049,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,4,Deaths,age-adjusted rate,attributable,25,150,D,10.0489807849008,5.88158440962572,15.9952117215843,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,6,Deaths,age-adjusted rate,attributable,25,150,A,19.3762106389878,15.4674329361901,24.3189643448245,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,6,Deaths,age-adjusted rate,attributable,25,150,B,14.3056603606607,10.5163627852477,19.2207340257324,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,6,Deaths,age-adjusted rate,attributable,25,150,D,11.6064673284998,7.91487993638963,16.4260464664302,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,8,Deaths,age-adjusted rate,attributable,45,150,A,8.1568103141504,4.81874775027566,12.8274699976113,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,8,Deaths,age-adjusted rate,attributable,45,150,B,8.1568103141504,4.81874775027566,12.8274699976113,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,8,Deaths,age-adjusted rate,attributable,45,150,D,8.15580717309278,4.81771266383184,12.8264060684548,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,9,Deaths,age-adjusted rate,attributable,55,84,A,11.3163146415986,7.68315219022641,16.4758410015593,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,9,Deaths,age-adjusted rate,attributable,55,84,B,11.3032175949841,7.67108193190406,16.4626896648953,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,9,Deaths,age-adjusted rate,attributable,55,84,D,9.90518610905292,6.41320511443379,14.8750831337696,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,10,Deaths,age-adjusted rate,attributable,75,84,A,28.3570648560227,18.9121872783679,38.4952893117531,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,10,Deaths,age-adjusted rate,attributable,75,84,B,23.6232992134343,14.9571152849933,33.2350584586417,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,10,Deaths,age-adjusted rate,attributable,75,84,D,18.7406828468281,10.9364739381278,27.8784887256356,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,11,Deaths,age-adjusted rate,attributable,75,150,A,8.56125947942755,6.02594350066075,11.6123568935641,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,11,Deaths,age-adjusted rate,attributable,75,150,B,6.54630836343915,4.36954317708196,9.32040414307058,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,11,Deaths,age-adjusted rate,attributable,75,150,D,5.0337390764004,3.1352379006681,7.59557720405844,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,12,Deaths,age-adjusted rate,attributable,45,150,A,5.57502574445223,3.93533442446243,7.66671213867705,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,12,Deaths,age-adjusted rate,attributable,45,150,B,5.5204247646891,3.88290953899223,7.61149612180084,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,12,Deaths,age-adjusted rate,attributable,45,150,D,5.01081484320902,3.39208166208066,7.10111511395632,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,13,Deaths,age-adjusted rate,attributable,45,150,A,20.8361865702689,16.2974284518675,26.924508827041,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,13,Deaths,age-adjusted rate,attributable,45,150,B,16.7653071326772,12.4644508403091,22.7103686180113,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,13,Deaths,age-adjusted rate,attributable,45,150,D,12.9380955483474,8.85661154673188,18.7050984817963,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,17,Deaths,age-adjusted rate,attributable,35,84,A,8.61716261830757,6.38910452360416,11.4732143352469,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,17,Deaths,age-adjusted rate,attributable,35,84,B,7.55272253338258,5.42048132414971,10.3427731399864,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,17,Deaths,age-adjusted rate,attributable,35,84,D,6.02200745037348,4.00778300800472,8.74721460588143,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,18,Deaths,age-adjusted rate,attributable,55,150,A,19.9208384497342,14.9253594853777,26.7375790482973,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,18,Deaths,age-adjusted rate,attributable,55,150,B,17.5010530036489,12.6516189261736,24.1423962295107,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,18,Deaths,age-adjusted rate,attributable,55,150,D,13.6269360997022,9.10311838300261,19.9145448023851,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,20,Deaths,age-adjusted rate,attributable,65,84,A,16.8170324520209,11.453266960694,23.5818343176802,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,20,Deaths,age-adjusted rate,attributable,65,84,B,16.8145540034403,11.4509404152403,23.579213832508,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,20,Deaths,age-adjusted rate,attributable,65,84,D,14.9729742842305,9.75295018665919,21.6528151447407,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,21,Deaths,age-adjusted rate,attributable,75,84,A,23.9487189583282,18.18076551631,32.0450671909891,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,21,Deaths,age-adjusted rate,attributable,75,84,B,20.5339313126917,14.9148372255616,28.3806421270159,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,21,Deaths,age-adjusted rate,attributable,75,84,D,16.2085903140721,10.8201801825285,23.8311596857505,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,22,Deaths,age-adjusted rate,attributable,45,150,A,5.62454474524505,3.6994098472146,8.08640880225779,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,22,Deaths,age-adjusted rate,attributable,45,150,B,5.44393418265195,3.53838229804538,7.89153898923447,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,22,Deaths,age-adjusted rate,attributable,45,150,D,4.72761566985468,2.92823015228557,7.13454149840647,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,24,Deaths,age-adjusted rate,attributable,45,150,A,24.3253159005473,18.8595214807929,32.0695438605961,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,24,Deaths,age-adjusted rate,attributable,45,150,B,19.7934215372181,14.595195588799,27.2567870838158,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,24,Deaths,age-adjusted rate,attributable,45,150,D,15.3080879349226,10.3465837074587,22.3003544209983,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,25,Deaths,age-adjusted rate,attributable,55,150,A,6.4773606550701,4.24045061612017,9.64836120654655,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,25,Deaths,age-adjusted rate,attributable,55,150,B,6.4773606550701,4.24045061612017,9.64836120654655,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,25,Deaths,age-adjusted rate,attributable,55,150,D,5.97177256361193,3.77143119564056,9.09313131393468,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,26,Deaths,age-adjusted rate,attributable,25,150,A,30.932400133469,22.7817078803854,41.5142382240216,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,26,Deaths,age-adjusted rate,attributable,25,150,B,28.6592064251818,20.5912746893165,39.1906503256753,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,26,Deaths,age-adjusted rate,attributable,25,150,D,23.4009154681068,15.6152565774486,33.4794359675444,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,27,Deaths,age-adjusted rate,attributable,45,150,A,10.6325359334623,6.97619554826554,15.4089301804482,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,27,Deaths,age-adjusted rate,attributable,45,150,B,10.6289629552152,6.97295677243207,15.4055641428191,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,27,Deaths,age-adjusted rate,attributable,45,150,D,10.4847542341565,6.84124252098205,15.2676341607149,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,29,Deaths,age-adjusted rate,attributable,55,150,A,16.8267572291068,12.1464495830515,22.8652393195878,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,29,Deaths,age-adjusted rate,attributable,55,150,B,16.200487229,11.5519951543149,22.1971757011397,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,29,Deaths,age-adjusted rate,attributable,55,150,D,13.9094485457809,9.40535962023802,19.8137495327745,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,32,Deaths,age-adjusted rate,attributable,55,84,A,7.53080173504849,4.68660751367417,11.455644671122,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,32,Deaths,age-adjusted rate,attributable,55,84,B,7.53080173504849,4.68660751367417,11.455644671122,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,32,Deaths,age-adjusted rate,attributable,55,84,D,7.28467802569704,4.46380061319164,11.179803861462,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,34,Deaths,age-adjusted rate,attributable,55,150,A,15.8252222573137,11.7873155744671,21.2066910156748,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,34,Deaths,age-adjusted rate,attributable,55,150,B,14.341293653224,10.4160711331533,19.5721406917686,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,34,Deaths,age-adjusted rate,attributable,55,150,D,11.1611367638421,7.44944606427078,16.1744557944969,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,36,Deaths,age-adjusted rate,attributable,35,150,A,8.9983737482481,6.8354403378843,11.8208344627426,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,36,Deaths,age-adjusted rate,attributable,35,150,B,8.36353788606213,6.21914410504706,11.1528527721969,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,36,Deaths,age-adjusted rate,attributable,35,150,D,6.71023252355582,4.61348509615525,9.41404568372318,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,37,Deaths,age-adjusted rate,attributable,45,74,A,10.1121543983628,7.12928010721285,14.2554635949596,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,37,Deaths,age-adjusted rate,attributable,45,74,B,8.5811559513563,5.78593253543166,12.449906828849,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,37,Deaths,age-adjusted rate,attributable,45,74,D,6.69269673947096,4.1771119028038,10.1976877714304,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,39,Deaths,age-adjusted rate,attributable,55,84,A,10.3462844751714,8.02969747377806,13.3119226270136,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,39,Deaths,age-adjusted rate,attributable,55,84,B,8.64010575992511,6.3956506488445,11.5447295993485,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,39,Deaths,age-adjusted rate,attributable,55,84,D,6.70016820719089,4.57216526798675,9.44713118122276,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,40,Deaths,age-adjusted rate,attributable,25,150,A,26.5185329929369,17.5245177800754,38.5130088049993,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,40,Deaths,age-adjusted rate,attributable,25,150,B,26.5185329929369,17.5245177800754,38.5130088049993,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,40,Deaths,age-adjusted rate,attributable,25,150,D,26.4267573915284,17.4366123416439,38.4240400721565,nvss,GBD
2004,American Indian or Alaska Native,All Origins,666,1,A,41,Deaths,age-adjusted rate,attributable,25,150,A,18.2996415277168,11.072586418846,28.5273967269327,nvss,GBD
