Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,1.78910876977526,7.43650357591912,14.7749129919573,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,2.08307095834817,8.65836940288166,17.2025271384329,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,11.6349663118636,48.3612120434358,96.084496273378,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,47.1509448907415,195.984825635844,389.38443543418,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,19.5747576982886,81.3632787901203,161.653302871681,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,306.632925087738,1274.53226010174,2532.2522952083,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,0.857182382682615,3.56289608724107,7.07877157695569,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,1.50126104470518,6.2400222055054,12.3976929852333,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,10.9824776769073,45.6488928538254,90.6953437149993,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,20.5306137676856,85.33591559899,169.545627782646,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,13.2170317976656,54.9368627123075,109.14870733604,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,263.044378830053,1093.3493350287,2172.26941425555,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,0.931938463844198,3.87365981686448,7.696248165015,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,3.40071197820925,14.1352694944901,28.0841754444563,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,12.3076923381431,51.1576837937728,101.640889659469,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,26.6211324425653,110.652382129205,219.84589075397,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,33.9737290209522,141.213904182741,280.566002778412,EPA,attributable,25,150
2001,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,351.573328612853,1461.33626689388,2903.40584725264,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,1.62196218839405,6.7058669096149,13.2594125996404,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,3.22905031606354,13.3502382601235,26.397230929334,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,6.87446888358927,28.4219162058782,56.1982393813699,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,42.1281119937773,174.175152913606,344.393983390225,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,29.1944855598685,120.702156967662,238.66261028922,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,178.554344298454,738.21799149617,1459.6676417319,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,0.748800668751398,3.0970637237302,6.12591422704821,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,2.30641945722353,9.53942528468016,18.868743520363,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,5.77110342004932,23.8694699324101,47.2132117691577,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,17.0241389648489,70.4123879906416,139.273934225928,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,17.5696689637325,72.668717665889,143.736897629814,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,131.207236723305,542.677364089723,1073.40219056592,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,0.874351154255351,3.61321482688527,7.14132706431164,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,4.4025745187503,18.1934311519993,35.9583496978129,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,8.2338370303734,34.0259424322938,67.2504667512161,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,25.1553409003249,103.953257537375,205.458088445563,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,43.9825173825314,181.755674658708,359.230430716282,EPA,attributable,25,150
2001,1,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,236.889922782982,978.936411501787,1934.81578722632,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,418.057276432004,1727.059985345,3412.45710295774,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,8.55958417958716,35.360980806087,69.8689282035442,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,62.3882279144598,257.735525876375,509.253548472256,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,YLL,absolute number,10348.8954456206,42752.905461167,84474.4578364464,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,69.9880776133884,289.131693458188,571.288495711688,EPA,attributable,25,150
2001,1,Black or African American,All Origins,A,666,nvss,YLL,crude rate,1544.40380331307,6380.17362759733,12606.4346336233,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,213.556331423775,882.106078858661,1742.70288231046,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,8.08510865844293,33.3959824478017,65.977637230067,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,56.8000689995385,234.615784088649,463.51069669063,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,YLL,absolute number,4709.92794999455,19454.6143772817,38434.8474203857,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,65.4440380066828,270.320169698913,534.048852140867,EPA,attributable,25,150
2001,1,Black or African American,All Origins,F,666,nvss,YLL,crude rate,1252.71037743984,5174.38856353193,10222.6048317554,EPA,attributable,25,150
2001,1,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,204.420645657399,844.651338012326,1669.20850428588,EPA,attributable,25,150
2001,1,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,9.85917896179514,40.7374151226384,80.5056911711656,EPA,attributable,25,150
2001,1,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,69.5045903272571,287.187945371756,567.543717945224,EPA,attributable,25,150
2001,1,Black or African American,All Origins,M,666,nvss,YLL,absolute number,5634.80401225369,23282.6030515721,46011.3152807547,EPA,attributable,25,150
2001,1,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,82.4060154551272,340.495701843599,672.891044638147,EPA,attributable,25,150
