Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2016,1,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,31.1986370578397,133.405664805181,271.919902052128,EPA,attributable,25,150
2016,1,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,B,31.1986370578397,133.405664805181,271.919902052128,EPA,attributable,25,150
2016,1,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,C,28.4865092419681,122.432728136918,250.707267620844,EPA,attributable,25,150
2016,1,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,7.3680705841982,31.6378300019703,64.7306283035261,EPA,attributable,25,150
2016,1,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,B,7.3680705841982,31.6378300019703,64.7306283035261,EPA,attributable,25,150
2016,1,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,C,7.22361945018594,31.050019224261,63.5880201504722,EPA,attributable,25,150
2016,1,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,A,20.9727265552167,89.9220160345486,183.736464379697,EPA,attributable,25,150
2016,1,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,B,20.9727265552167,89.9220160345486,183.736464379697,EPA,attributable,25,150
2016,1,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,C,19.8170932606255,85.2415600669042,174.679259511453,EPA,attributable,25,150
2016,1,All,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,A,24.6771635397278,105.829867033808,216.287893335051,EPA,attributable,25,150
2016,1,All,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,B,24.6771635397278,105.829867033808,216.287893335051,EPA,attributable,25,150
2016,1,All,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,C,23.3862171192366,100.608099360524,206.195477754828,EPA,attributable,25,150
2016,1,All,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,A,18.9985459411101,81.5415587874985,166.766406913473,EPA,attributable,25,150
2016,1,All,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,B,18.9985459411101,81.5415587874985,166.766406913473,EPA,attributable,25,150
2016,1,All,All Origins,A,666,5,nvss,Deaths,age-adjusted rate,C,18.3945463464218,79.089582488954,162.010994348415,EPA,attributable,25,150
2016,1,All,All Origins,A,666,6,nvss,Deaths,age-adjusted rate,A,21.8717693350648,94.0204937388745,192.560347068404,EPA,attributable,25,150
2016,1,All,All Origins,A,666,6,nvss,Deaths,age-adjusted rate,B,21.8717693350648,94.0204937388745,192.560347068404,EPA,attributable,25,150
2016,1,All,All Origins,A,666,6,nvss,Deaths,age-adjusted rate,C,21.5520062365735,92.7195509482771,190.032008868652,EPA,attributable,25,150
2016,1,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,20.9330497392898,89.7605323911245,183.422247878264,EPA,attributable,25,150
2016,1,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,B,20.9330497392898,89.7605323911245,183.422247878264,EPA,attributable,25,150
2016,1,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,C,19.8671812205973,85.4437215909701,175.068855368199,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,1,nvss,Deaths,age-adjusted rate,A,18.7041320540881,80.0181568054047,163.172411530449,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,1,nvss,Deaths,age-adjusted rate,B,18.7041320540881,80.0181568054047,163.172411530449,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,1,nvss,Deaths,age-adjusted rate,C,17.2212003260999,74.0150913629981,151.561314785389,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,2,nvss,Deaths,age-adjusted rate,A,2.3948866707331,10.2856259973553,21.0483407155291,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,2,nvss,Deaths,age-adjusted rate,B,2.3948866707331,10.2856259973553,21.0483407155291,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,2,nvss,Deaths,age-adjusted rate,C,2.35505090987027,10.1235078471539,20.7331804297041,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,3,nvss,Deaths,age-adjusted rate,A,12.6763538515153,54.3546646526021,111.069082169893,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,3,nvss,Deaths,age-adjusted rate,B,12.6763538515153,54.3546646526021,111.069082169893,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,3,nvss,Deaths,age-adjusted rate,C,12.0270511741855,51.7238195222993,105.97608548003,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,4,nvss,Deaths,age-adjusted rate,A,13.6151070776896,58.3948822510552,119.353948675276,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,4,nvss,Deaths,age-adjusted rate,B,13.6151070776896,58.3948822510552,119.353948675276,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,4,nvss,Deaths,age-adjusted rate,C,12.8935776035004,55.477162601173,113.716182471198,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,5,nvss,Deaths,age-adjusted rate,A,10.6880759092491,45.8876596470097,93.8749531866184,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,5,nvss,Deaths,age-adjusted rate,B,10.6880759092491,45.8876596470097,93.8749531866184,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,5,nvss,Deaths,age-adjusted rate,C,10.4027250195096,44.7289043189939,91.6269832825539,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,6,nvss,Deaths,age-adjusted rate,A,12.6936163321698,54.5534344230033,111.705372543177,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,6,nvss,Deaths,age-adjusted rate,B,12.6936163321698,54.5534344230033,111.705372543177,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,6,nvss,Deaths,age-adjusted rate,C,12.4911031570483,53.7295181827251,110.10411957945,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,A,12.694235294854,54.4184351605128,111.175734683448,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,B,12.694235294854,54.4184351605128,111.175734683448,EPA,attributable,25,150
2016,1,All,All Origins,A,higher,666,nvss,Deaths,age-adjusted rate,C,12.0064017771958,51.6327130905223,105.785188634494,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,1,nvss,Deaths,age-adjusted rate,A,46.4627653310026,198.589948397334,404.627681721374,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,1,nvss,Deaths,age-adjusted rate,B,46.4627653310026,198.589948397334,404.627681721374,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,1,nvss,Deaths,age-adjusted rate,C,42.1185880765457,181.020463256001,370.674800059586,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,2,nvss,Deaths,age-adjusted rate,A,9.96461963026309,42.7851099345906,87.5340118316927,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,2,nvss,Deaths,age-adjusted rate,B,9.96461963026309,42.7851099345906,87.5340118316927,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,2,nvss,Deaths,age-adjusted rate,C,9.76012451013538,41.953013775848,85.9166453388939,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,3,nvss,Deaths,age-adjusted rate,A,27.4281785870581,117.595907502648,240.274700811001,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,3,nvss,Deaths,age-adjusted rate,B,27.4281785870581,117.595907502648,240.274700811001,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,3,nvss,Deaths,age-adjusted rate,C,25.846705696044,111.192312472131,227.88592299422,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,4,nvss,Deaths,age-adjusted rate,A,32.9005841914403,141.078435030549,288.292624406873,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,4,nvss,Deaths,age-adjusted rate,B,32.9005841914403,141.078435030549,288.292624406873,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,4,nvss,Deaths,age-adjusted rate,C,31.1595161899568,134.036152001759,274.681941445219,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,5,nvss,Deaths,age-adjusted rate,A,22.9749080497797,98.596648048529,201.625898990733,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,5,nvss,Deaths,age-adjusted rate,B,22.9749080497797,98.596648048529,201.625898990733,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,5,nvss,Deaths,age-adjusted rate,C,22.2047169264104,95.4703030901025,195.563151308554,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,6,nvss,Deaths,age-adjusted rate,A,25.1925200768062,108.304900123571,221.833313385138,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,6,nvss,Deaths,age-adjusted rate,B,25.1925200768062,108.304900123571,221.833313385138,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,6,nvss,Deaths,age-adjusted rate,C,24.8404793389688,106.872609720682,219.049654708873,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,A,28.1390739160321,120.678468866804,246.636336155898,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,B,28.1390739160321,120.678468866804,246.636336155898,EPA,attributable,25,150
2016,1,All,All Origins,A,lower,666,nvss,Deaths,age-adjusted rate,C,26.7632111029653,115.106204049969,235.853594775071,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,1,nvss,Deaths,age-adjusted rate,A,20.9112319271313,89.4122660644052,182.240468809798,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,1,nvss,Deaths,age-adjusted rate,B,20.9112319271313,89.4122660644052,182.240468809798,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,1,nvss,Deaths,age-adjusted rate,C,19.0746970186262,81.982440764487,167.878349854409,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,2,nvss,Deaths,age-adjusted rate,A,3.96095533257719,17.0073191897312,34.7955380629863,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,2,nvss,Deaths,age-adjusted rate,B,3.96095533257719,17.0073191897312,34.7955380629863,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,2,nvss,Deaths,age-adjusted rate,C,3.88289601037638,16.6896546880393,34.1780130833354,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,3,nvss,Deaths,age-adjusted rate,A,14.1570077946565,60.6961953807886,124.014297444624,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,3,nvss,Deaths,age-adjusted rate,B,14.1570077946565,60.6961953807886,124.014297444624,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,3,nvss,Deaths,age-adjusted rate,C,13.3654341645592,57.4903906036687,117.811013162582,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,4,nvss,Deaths,age-adjusted rate,A,14.0819505300663,60.3977586056037,123.448301942386,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,4,nvss,Deaths,age-adjusted rate,B,14.0819505300663,60.3977586056037,123.448301942386,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,4,nvss,Deaths,age-adjusted rate,C,13.3630819033981,57.4892083335101,117.825324757924,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,5,nvss,Deaths,age-adjusted rate,A,11.2140348573044,48.1336909868529,98.4474815613509,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,5,nvss,Deaths,age-adjusted rate,B,11.2140348573044,48.1336909868529,98.4474815613509,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,5,nvss,Deaths,age-adjusted rate,C,10.8656915976288,46.7194973081017,95.7046342037054,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,6,nvss,Deaths,age-adjusted rate,A,13.1442397904202,56.5038775437747,115.724794768306,EPA,attributable,25,150
2016,1,All,All Origins,A,middle,6,nvss,Deaths,age-adjusted rate,B,13.1442397904202,56.5038775437747,115.724794768306,EPA,attributable,25,150
