Year,Gender.Code,Race,Hispanic.Origin,county,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1992,A,American Indian or Alaska Native,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1992,A,American Indian or Alaska Native,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,1566.98263094201,940.189578565205,2193.77568331881
1992,A,American Indian or Alaska Native,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1329.33558652979,797.601351917872,1861.0698211417
1992,A,American Indian or Alaska Native,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,949.525418949848,569.715251369909,1329.33558652979
1992,A,American Indian or Alaska Native,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,285691.453798288,171414.872278973,399968.035317602
1992,A,American Indian or Alaska Native,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,192011.019755699,115206.611853419,268815.427657978
1992,A,American Indian or Alaska Native,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,137333.501379101,82400.1008274604,192266.901930741
1992,A,American Indian or Alaska Native,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,263.542619080135,158.125571448081,368.959666712188
1992,A,American Indian or Alaska Native,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,209.272388521403,125.563433112842,292.981343929963
1992,A,American Indian or Alaska Native,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,149.480277515288,89.6881665091726,209.272388521402
1992,A,American Indian or Alaska Native,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,725.016316775088,435.009790065053,1015.02284348512
1992,A,American Indian or Alaska Native,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,593.580610225218,356.148366135131,831.012854315304
1992,A,American Indian or Alaska Native,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,423.98615016087,254.391690096522,593.580610225218
1992,A,American Indian or Alaska Native,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,34271.556379887,20562.9338279322,47980.1789318417
1992,A,American Indian or Alaska Native,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,34271.556379887,20562.9338279322,47980.1789318417
1992,A,American Indian or Alaska Native,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,32392.7754063204,19435.6652437922,45349.8855688485
1992,A,American Indian or Alaska Native,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,106788.496720535,64073.0980323209,149503.895408749
1992,A,American Indian or Alaska Native,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,50205.981762398,30123.5890574388,70288.3744673571
1992,A,American Indian or Alaska Native,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,35861.41554457,21516.849326742,50205.9817623979
1992,A,American Indian or Alaska Native,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,149.761469250463,89.8568815502777,209.666056950648
1992,A,American Indian or Alaska Native,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,120.725237596405,72.4351425578429,169.015332634966
1992,A,American Indian or Alaska Native,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,86.2323125688606,51.7393875413164,120.725237596405
1992,A,American Indian or Alaska Native,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,883.190384487508,529.914230692505,1236.46653828251
1992,A,American Indian or Alaska Native,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,883.190384487508,529.914230692505,1236.46653828251
1992,A,American Indian or Alaska Native,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,820.566119933402,492.339671960041,1148.79256790676
1992,A,American Indian or Alaska Native,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,240.210933996951,144.126560398171,336.295307595731
1992,A,American Indian or Alaska Native,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,194.696192496459,116.817715497875,272.574669495042
1992,A,American Indian or Alaska Native,All Origins,29510,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,139.068708926042,83.4412253556253,194.696192496459
1992,A,American Indian or Alaska Native,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,932.71034165772,559.626204994632,1305.79447832081
1992,A,American Indian or Alaska Native,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,932.71034165772,559.626204994632,1305.79447832081
1992,A,American Indian or Alaska Native,All Origins,37119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,930.130346387741,558.078207832645,1302.18248494284
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,46099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,74.3342749383383,44.600564963003,104.067984913673
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,48439,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,141.899765909486,85.1398595456913,198.659672273279
1992,A,American Indian or Alaska Native,All Origins,49011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
