Year,nation,source,Gender.Code,Race,Hispanic.Origin,Education,rural_urban_class,attr,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1994,us,nvss,A,All,All Origins,666,1,attributable,Deaths,absolute number,A,di_gee,25,150,63126.7865525955,64905.0058921052,66683.225231615
1994,us,nvss,A,All,All Origins,666,1,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,7359.69664157397,7567.01203992817,7774.32743828237
1994,us,nvss,A,All,All Origins,666,1,attributable,Deaths,crude rate,A,di_gee,25,150,9794.29607674048,10070.191740874,10346.0874050076
1994,us,nvss,A,All,All Origins,666,1,attributable,YLL,absolute number,A,di_gee,25,150,1416551.50618678,1456454.36551598,1496357.22484519
1994,us,nvss,A,All,All Origins,666,1,attributable,YLL,age-adjusted rate,A,di_gee,25,150,155100.725510228,159469.760031643,163838.794553058
1994,us,nvss,A,All,All Origins,666,1,attributable,YLL,crude rate,A,di_gee,25,150,219781.896358473,225972.935692514,232163.975026556
1994,us,nvss,A,All,All Origins,666,2,attributable,Deaths,absolute number,A,di_gee,25,150,26664.3491784956,27415.4576060589,28166.5660336222
1994,us,nvss,A,All,All Origins,666,2,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,3075.38397748287,3162.01451205985,3248.64504663683
1994,us,nvss,A,All,All Origins,666,2,attributable,Deaths,crude rate,A,di_gee,25,150,4733.72046103157,4867.06469937049,5000.40893770941
1994,us,nvss,A,All,All Origins,666,2,attributable,YLL,absolute number,A,di_gee,25,150,570540.413701796,586611.974651142,602683.535600488
1994,us,nvss,A,All,All Origins,666,2,attributable,YLL,age-adjusted rate,A,di_gee,25,150,65283.7001478121,67122.6776167646,68961.655085717
1994,us,nvss,A,All,All Origins,666,2,attributable,YLL,crude rate,A,di_gee,25,150,101288.008648032,104141.19199023,106994.375332428
1994,us,nvss,A,All,All Origins,666,3,attributable,Deaths,absolute number,A,di_gee,25,150,542.635306930615,557.920808534295,573.206310137974
1994,us,nvss,A,All,All Origins,666,3,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,36.4868630779964,37.5146620379399,38.5424609978835
1994,us,nvss,A,All,All Origins,666,3,attributable,Deaths,crude rate,A,di_gee,25,150,62.5344085597026,64.2959411951872,66.0574738306718
1994,us,nvss,A,All,All Origins,666,3,attributable,YLL,absolute number,A,di_gee,25,150,11440.4162065417,11762.6814517964,12084.9466970511
1994,us,nvss,A,All,All Origins,666,3,attributable,YLL,age-adjusted rate,A,di_gee,25,150,797.181255258958,819.637065266253,842.092875273547
1994,us,nvss,A,All,All Origins,666,3,attributable,YLL,crude rate,A,di_gee,25,150,1318.41708789584,1355.55559741403,1392.69410693222
1994,us,nvss,A,All,All Origins,666,666,attributable,Deaths,absolute number,A,di_gee,25,150,153437.738475558,157759.928291771,162082.118107984
1994,us,nvss,A,All,All Origins,666,666,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,103.150813058418,106.056469764289,108.96212647016
1994,us,nvss,A,All,All Origins,666,666,attributable,Deaths,crude rate,A,di_gee,25,150,151.417134047488,155.682405429107,159.947676810727
1994,us,nvss,A,All,All Origins,666,666,attributable,YLL,absolute number,A,di_gee,25,150,3329644.5837545,3423437.38893069,3517230.19410687
1994,us,nvss,A,All,All Origins,666,666,attributable,YLL,age-adjusted rate,A,di_gee,25,150,2185.8084435975,2247.38051243123,2308.95258126496
1994,us,nvss,A,All,All Origins,666,666,attributable,YLL,crude rate,A,di_gee,25,150,3285.79686638928,3378.35452459743,3470.91218280557
1994,us,nvss,A,American Indian or Alaska Native,All Origins,666,1,attributable,Deaths,absolute number,A,di_gee,25,150,143.473897887324,86.0843387323945,200.863457042253
1994,us,nvss,A,American Indian or Alaska Native,All Origins,666,1,attributable,Deaths,age-adjusted rate,A,di_gee,25,150,2594.07496628849,1556.4449797731,3631.70495280388
1994,us,nvss,A,American Indian or Alaska Native,All Origins,666,1,attributable,Deaths,crude rate,A,di_gee,25,150,2501.5105805825,1500.9063483495,3502.11481281549
