Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,A,di_gee,122.018043920624,73.2108263523744,170.825261488873,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,A,di_coxme,176.926163684905,109.816239528562,247.696629158866,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,B,di_gee,113.948170798808,68.3689024792851,159.527439118332,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,B,di_coxme,165.224847658272,102.553353718928,231.314786721581,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,C,di_gee,68.027053150792,40.8162318904752,95.2378744111087,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,25,110,C,di_coxme,98.6392270686484,61.2243478357128,138.094917896108,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,32.4340245915172,19.4604147549103,45.407634428124,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,47.0293356576999,29.1906221323655,65.8410699207798,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,30.2889446109394,18.1733667665637,42.4045224553152,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,43.9189696858622,27.2600501498455,61.486557560207,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,18.0824986525481,10.8494991915289,25.3154981135673,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,26.2196230461947,16.2742487872933,36.7074722646726,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,A,di_gee,32.4023145429357,19.4413887257614,45.36324036011,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,A,di_coxme,46.9833560872568,29.1620830886422,65.7766985221595,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,B,di_gee,30.2593317609404,18.1555990565642,42.3630644653165,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,B,di_coxme,43.8760310533635,27.2333985848464,61.426443474709,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,C,di_gee,18.0648197823503,10.8388918694102,25.2907476952903,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,25,110,C,di_coxme,26.1939886844079,16.2583378041152,36.671584158171,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,A,di_gee,3519.00974190786,2111.40584514472,4926.613638671,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,A,di_coxme,5102.5641257664,3167.10876771708,7143.58977607296,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,B,di_gee,3286.27398235002,1971.76438941001,4600.78357529002,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,B,di_coxme,4765.09727440752,2957.64658411502,6671.13618417053,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,C,di_gee,1961.90542856636,1177.14325713982,2746.66759999291,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,25,110,C,di_coxme,2844.76287142123,1765.71488570973,3982.66801998972,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,age-adjusted rate,25,150,A,di_gee,742.518130578794,445.510878347277,1039.52538281031,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,age-adjusted rate,25,150,A,di_coxme,1076.65128933925,668.266317520915,1507.31180507495,attributable
