Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2001,All,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,A,59083.4636010207,44995.2534010197,77440.8643930331,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,B,50536.1762156591,36715.3319352643,68587.1094963818,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,C,29376.6244810971,16599.4510691383,47030.6754644466,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,20.9837095309382,15.975180377493,27.502780116814,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,17.9475076166823,13.0316033047674,24.3541878356586,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,10.4322352667503,5.88953624149187,16.7050274102057,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,A,32.0574170898928,24.4134571236779,42.0177480862242,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,B,27.4198427162912,19.9209497498433,37.2138910298696,nvss,GBD
2001,All,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,C,15.9391248631439,9.00650527159412,25.5178333749056,nvss,GBD
2001,All,All Origins,666,A,us,YLL,absolute number,attributable,25,150,A,1290893.54561395,989215.585381265,1686920.45034831,nvss,GBD
2001,All,All Origins,666,A,us,YLL,absolute number,attributable,25,150,B,1105919.10057206,804971.729236355,1499772.62095752,nvss,GBD
2001,All,All Origins,666,A,us,YLL,absolute number,attributable,25,150,C,644873.277465832,362371.896252785,1035570.93764948,nvss,GBD
2001,All,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,456.117813874451,349.648527691627,596.157013415558,nvss,GBD
2001,All,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,390.747200227199,284.535715501708,529.854036634865,nvss,GBD
2001,All,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,227.836204197488,128.048647318593,365.586247692125,nvss,GBD
2001,All,All Origins,666,A,us,YLL,crude rate,attributable,25,150,A,700.411084391505,536.727109069513,915.286768552802,nvss,GBD
2001,All,All Origins,666,A,us,YLL,crude rate,attributable,25,150,B,600.047927354501,436.760353860776,813.744379894585,nvss,GBD
2001,All,All Origins,666,A,us,YLL,crude rate,attributable,25,150,C,349.894375953463,196.615200122258,561.878526597197,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,A,183.202823488772,132.427185007264,254.127886717575,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,B,160.220160854575,110.162272074718,231.549060422364,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,C,99.2062560315305,51.5588655276071,170.133071742218,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,A,11.5713899338699,8.37948566014428,15.96801129276,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,B,10.1168973173241,6.96208541331562,14.5560314705158,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,25,150,C,6.25203381661408,3.28309693815076,10.7715773790777,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,A,11.0344467887528,7.97619107893565,15.3063178291853,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,B,9.65018336381464,6.63515826987832,13.9463777771572,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,25,150,C,5.97526900756742,3.10543007645134,10.24724560133,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,25,150,A,4979.13388559267,3593.54522579457,6911.41464458701,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,25,150,B,4353.82831124576,2982.08039687505,6304.15366022061,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,25,150,C,2701.60351462764,1402.8484673628,4646.11256264138,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,A,266.148597784175,192.243046281964,369.023541980414,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,B,232.761828570088,160.030953792342,336.297224050152,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,25,150,C,144.185674088747,74.9786469772678,247.663877637034,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,25,150,A,299.897058726365,216.441989385807,416.279813151329,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,25,150,B,262.234423645501,179.612993034013,379.704017586216,nvss,GBD
2001,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,25,150,C,162.719654963686,84.4946408085619,279.838928629634,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,A,1009.43322386231,806.225666754963,1280.73343006154,nvss,GBD
2001,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,25,150,B,746.599955344571,548.295899479428,1014.32868446793,nvss,GBD
