Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,178.084633360239,125.345843346391,255.452459319135,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,107.938854613443,74.9631873990207,156.044248373466,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,4.82917412804298,3.39904062649613,6.92718054450817,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,4850.83737314979,3391.08798963933,6959.44951695735,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2571.82507452921,1806.7907128883,3662.29929269772,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,131.54160412242,91.9571446254825,188.72146865545,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,76.7566188293223,53.7961456781608,109.546417578721,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,88.3233330663654,61.258442878035,127.298118048951,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,4.16410298467592,2.918480441154,5.94297366608136,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,1857.35195664797,1301.61830619512,2666.83742713175,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1976.98462122471,1389.76168185167,2828.85660142947,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,100.762708730949,70.6137497508598,144.677890445618,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,101.535451944477,71.1203043400839,145.633297320397,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,130.728693794268,90.4637609611716,188.114254314222,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,Deaths,crude rate,attributable,5.50509664140866,3.85603393751234,7.89601425514113,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,absolute number,attributable,3002.01997720928,2100.89245807721,4294.13806496182,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,age-adjusted rate,attributable,3239.58507423529,2270.83118747231,4635.80057423819,nvss,GBD
2006,American Indian or Alaska Native,All Origins,666,M,us,YLL,crude rate,attributable,162.764923753072,113.907170288128,232.82158680983,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,absolute number,attributable,873.537795626494,667.140676389508,1145.95957065137,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,94.5401647995885,71.1938114188094,125.063839202104,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,Deaths,crude rate,attributable,5.81201899890088,4.43877105893803,7.62455709408808,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,absolute number,attributable,20940.253743423,15930.403345449,27447.4588143904,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,age-adjusted rate,attributable,2164.94397240734,1652.22164791667,2856.08384871601,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,A,us,YLL,crude rate,attributable,139.324426725342,105.991758304517,182.619633517261,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,absolute number,attributable,339.709162955317,258.455597929409,446.513118577115,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,64.8609609460129,48.6809204365211,86.5804283694936,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,Deaths,crude rate,attributable,4.35598172813453,3.31409330357885,5.7254946230288,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,absolute number,attributable,7284.83965004597,5554.04461268018,9633.84710996279,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1401.72393887257,1056.01716882334,1859.14029071969,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,F,us,YLL,crude rate,attributable,93.4111642203897,71.2177341335393,123.531734079718,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,absolute number,attributable,535.117999400331,410.928035901732,700.939275269628,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,133.295287889793,100.871383002187,175.158637390452,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,Deaths,crude rate,attributable,7.40015894249368,5.68273312242781,9.69330512493386,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,absolute number,attributable,13691.2195961709,10434.3904357033,17891.7452596178,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,age-adjusted rate,attributable,3119.78295255094,2382.47174634619,4095.63792840754,nvss,GBD
2006,Asian or Pacific Islander,All Origins,666,M,us,YLL,crude rate,attributable,189.336186115563,144.297421837373,247.42535072293,nvss,GBD
2006,Black or African American,All Origins,666,A,us,Deaths,absolute number,attributable,6222.76344674233,4860.60235855731,7977.32741906431,nvss,GBD
2006,Black or African American,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,256.282196753153,197.774558043262,330.542318573724,nvss,GBD
2006,Black or African American,All Origins,666,A,us,Deaths,crude rate,attributable,15.6126821917665,12.1950706521608,20.0148179823094,nvss,GBD
2006,Black or African American,All Origins,666,A,us,YLL,absolute number,attributable,165996.394904196,128940.75443495,211679.889671362,nvss,GBD
2006,Black or African American,All Origins,666,A,us,YLL,age-adjusted rate,attributable,6481.51946857659,5049.42554841433,8311.89402800172,nvss,GBD
2006,Black or African American,All Origins,666,A,us,YLL,crude rate,attributable,416.478784835528,323.507560232482,531.096975180265,nvss,GBD
2006,Black or African American,All Origins,666,F,us,Deaths,absolute number,attributable,2753.50809646512,2160.09009889977,3511.10179071869,nvss,GBD
2006,Black or African American,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,188.95470875867,145.911189920552,243.857181155261,nvss,GBD
2006,Black or African American,All Origins,666,F,us,Deaths,crude rate,attributable,13.2123141210894,10.3648828754698,16.847518926728,nvss,GBD
2006,Black or African American,All Origins,666,F,us,YLL,absolute number,attributable,67769.5981421806,52921.7701300456,86390.1633402262,nvss,GBD
2006,Black or African American,All Origins,666,F,us,YLL,age-adjusted rate,attributable,4662.40189956237,3647.71447416582,5978.75024342318,nvss,GBD
2006,Black or African American,All Origins,666,F,us,YLL,crude rate,attributable,325.182707711653,253.937532161205,414.530822149609,nvss,GBD
2006,Black or African American,All Origins,666,M,us,Deaths,absolute number,attributable,3454.99878134096,2685.82185464727,4441.68227939619,nvss,GBD
2006,Black or African American,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,349.880103565796,269.341926050037,451.707978435673,nvss,GBD
2006,Black or African American,All Origins,666,M,us,Deaths,crude rate,attributable,18.1682934683724,14.1235359973299,23.3568207262924,nvss,GBD
2006,Black or African American,All Origins,666,M,us,YLL,absolute number,attributable,97789.4012376709,75501.1564345389,125198.926141722,nvss,GBD
2006,Black or African American,All Origins,666,M,us,YLL,age-adjusted rate,attributable,8848.3502638393,6870.94006159544,11374.1668355004,nvss,GBD
2006,Black or African American,All Origins,666,M,us,YLL,crude rate,attributable,514.230728351476,397.026816539657,658.36516190754,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,2041.78383453339,1529.41645537467,2726.52559187581,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,Deaths,age-adjusted rate,attributable,121.1064977245,88.8366746778285,163.096131524609,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,Deaths,crude rate,attributable,5.02842044097757,3.76658333605181,6.71477400650982,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,YLL,absolute number,attributable,50263.0970501467,37730.3620587577,66740.8695631986,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,YLL,age-adjusted rate,attributable,2775.57640762025,2057.84296742206,3692.10241716903,nvss,GBD
2006,White,Hispanic or Latino,666,A,us,YLL,crude rate,attributable,123.785868199685,92.9207688947637,164.36664209211,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,Deaths,absolute number,attributable,836.779114032492,624.465352928455,1117.84804004354,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,Deaths,age-adjusted rate,attributable,87.0840301103868,63.6870260634487,117.325337613534,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,Deaths,crude rate,attributable,4.21769873847182,3.14755314407074,5.63439764357186,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,YLL,absolute number,attributable,17985.0180876791,13493.0128070148,23893.9749466577,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,YLL,age-adjusted rate,attributable,1882.24488406765,1400.44120934678,2511.81481804746,nvss,GBD
2006,White,Hispanic or Latino,666,F,us,YLL,crude rate,attributable,90.6516269678924,68.0101380877922,120.435113997937,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,Deaths,absolute number,attributable,1201.60737869078,895.982030011951,1599.70428014149,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,Deaths,age-adjusted rate,attributable,163.262447997912,119.428336509511,219.82068564684,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,Deaths,crude rate,attributable,5.7866492414474,4.31483180468499,7.70378721318008,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,YLL,absolute number,attributable,32205.7977705737,24035.6210185768,42867.7102325512,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,YLL,age-adjusted rate,attributable,3820.29450788087,2828.19474044307,5086.67589995416,nvss,GBD
2006,White,Hispanic or Latino,666,M,us,YLL,crude rate,attributable,155.09529863436,115.749712095148,206.440479060685,nvss,GBD
2006,White,Not Hispanic or Latino,666,A,us,Deaths,absolute number,attributable,35795.3088878854,26190.0272718815,48330.8023767505,nvss,GBD
