Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,us,All,All Origins,A,666,1,nvss,Deaths,absolute number,A,38186.6714958229,159395.732979396,317877.841119759,EPA,attributable,25,150
1993,us,All,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,36.0131994849363,150.323400913917,299.785177803177,EPA,attributable,25,150
1993,us,All,All Origins,A,666,1,nvss,Deaths,crude rate,A,10.0294105621775,41.8639589492487,83.4879619596441,EPA,attributable,25,150
1993,us,All,All Origins,A,666,1,nvss,YLL,absolute number,A,856522.315926338,3575226.56498676,7129960.63789805,EPA,attributable,25,150
1993,us,All,All Origins,A,666,1,nvss,YLL,age-adjusted rate,A,773.25311210582,3227.65095135848,6436.80164536521,EPA,attributable,25,150
1993,us,All,All Origins,A,666,1,nvss,YLL,crude rate,A,224.958437737418,939.003418430381,1872.62465484761,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,Deaths,absolute number,A,15672.6000771339,64813.166811216,128171.133305855,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,24.8656736389425,102.830611736554,203.352446628602,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,Deaths,crude rate,A,7.50554950656596,31.0387829578219,61.3806759315769,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,YLL,absolute number,A,335164.446826436,1386053.94729905,2740987.88855399,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,YLL,age-adjusted rate,A,522.271083352588,2159.82304655324,4271.15324303098,EPA,attributable,25,150
1993,us,All,All Origins,A,666,2,nvss,YLL,crude rate,A,160.508998897179,663.776046669001,1312.64883894121,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,Deaths,absolute number,A,354.059518456064,1481.46373151001,2960.9492246713,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,A,0.982213873151326,4.10980118824352,8.21411444847148,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,Deaths,crude rate,A,0.340820508113631,1.42606876924794,2.85023327052952,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,YLL,absolute number,A,7209.82482060778,30167.5097702437,60294.7360536604,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,YLL,age-adjusted rate,A,20.6198640172277,86.2780947773949,172.440980095312,EPA,attributable,25,150
1993,us,All,All Origins,A,666,3,nvss,YLL,crude rate,A,6.94023470823518,29.0394848110636,58.0401924173543,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,Deaths,absolute number,A,93037.4355215731,380151.054061414,743992.85980503,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,A,24.2228449785909,98.9745686707192,193.702928366474,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,Deaths,crude rate,A,9.55044677637261,39.023135025617,76.3720987120459,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,YLL,absolute number,A,2019450.19569878,8251475.50784983,16148946.0442337,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,YLL,age-adjusted rate,A,450.724547211068,1841.66094812352,3604.31092048031,EPA,attributable,25,150
1993,us,All,All Origins,A,666,666,nvss,YLL,crude rate,A,207.299905714666,847.027620897708,1657.71604543211,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,absolute number,A,60.605788297982,252.981882097439,504.524575092448,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,age-adjusted rate,A,20.4777686819649,85.4787076912252,170.471135402322,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,Deaths,crude rate,A,3.71977872429441,15.5271740387435,30.9660155080444,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,absolute number,A,1957.2373218393,8169.9388011548,16293.3996221765,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,age-adjusted rate,A,503.856842247954,2103.20921217692,4194.45347353127,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,1,nvss,YLL,crude rate,A,120.128620592749,501.4432677932,1000.03387404198,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,absolute number,A,42.4702801564214,175.809884862847,347.987379091539,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,age-adjusted rate,A,15.7199409608662,65.074235446567,128.803978553893,EPA,attributable,25,150
1993,us,American Indian or Alaska Native,All Origins,A,666,2,nvss,Deaths,crude rate,A,3.03970155609641,12.5831423439274,24.9063056290324,EPA,attributable,25,150
