Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
2001,us,All,All Origins,A,666,nvss,Deaths,absolute number,A,81456.6060626066,338784.954392819,673719.587403225,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,absolute number,B,71710.2576468369,302203.160175841,607961.355099523,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,28.977272428163,120.518941219552,239.668173866317,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,25.5101184811095,107.505378929446,216.275421529026,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,crude rate,A,44.1966031800301,183.81743257454,365.545763546647,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,Deaths,crude rate,B,38.9084440704422,163.968937519656,329.866760462315,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,absolute number,A,1683557.10649013,7002057.23157175,13924535.4548965,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,absolute number,B,1482118.14492713,6245979.33194975,12565434.6445823,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,A,595.220921984266,2475.57445191252,4923.013778217,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,age-adjusted rate,B,524.002260043508,2208.26342173121,4442.50424618738,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,crude rate,A,913.461890485289,3799.16571370263,7555.1535684327,EPA,attributable,25,150
2001,us,All,All Origins,A,666,nvss,YLL,crude rate,B,804.165440761437,3388.93410060177,6817.73468863131,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,A,319.528917264221,1336.3763234638,2671.90107442368,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,B,285.662061638122,1210.63718547372,2448.24471148281,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,20.2676671208729,84.7661322927571,169.478249480444,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,18.119497990713,76.7905192726019,155.291762847679,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,A,19.245472137802,80.4909725199412,160.930654173822,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,B,17.2056454081039,72.9176076503746,147.45965962887,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,A,9290.79962817186,38857.217542124,77689.6742908569,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,B,8306.0681918051,35201.1567809036,71186.5181088108,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,A,465.222508777607,1945.71543382012,3890.19100897556,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,B,415.913595914004,1762.64381160787,3564.55546036138,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,A,559.591998473262,2340.40006132239,4679.30876103846,EPA,attributable,25,150
2001,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,B,500.280867624523,2120.19271321563,4287.61866869589,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,A,1373.36449206164,5633.69455732567,11069.0239825022,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,B,1091.56746746252,4594.25974460076,9232.00041317241,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,18.7732605109457,77.0100116721418,151.308463286012,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,14.9212248826858,62.801416185493,126.197196589429,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,A,17.483928311006,71.7210269638791,140.916721599782,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,B,13.8964473437723,58.4882662112219,117.530076191776,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,A,32175.9272210925,131989.247654322,259331.089545553,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,B,25573.8338896927,107636.805838165,216292.306315139,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,A,360.67240080254,1479.51847679462,2906.94238666161,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,B,286.66698564243,1206.54254684287,2424.50403550953,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,A,409.622942871659,1680.31906835423,3301.47328304891,EPA,attributable,25,150
2001,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,B,325.573495564712,1370.2947817408,2753.55828674383,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,A,10495.2419123204,43361.4896949127,85699.8349836985,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,B,8848.69797141763,37160.7016300691,74518.640330517,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,41.5416209116298,171.630781083287,339.211814918035,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,35.0243719736106,147.087203212947,294.955098064624,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,A,49.5489282491423,204.713274798078,404.596197976706,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,B,41.7754544913741,175.438827817261,351.808828591745,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,A,274550.061802129,1134313.98485398,2241863.04496574,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,B,231477.329938359,972104.598862959,1949368.81675277,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,A,966.023360725432,3991.16212385424,7888.15001085226,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,B,814.46897782876,3420.41719242826,6858.98886087325,EPA,attributable,25,150
2001,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,A,1296.17415460066,5355.19264034785,10584.0257983012,EPA,attributable,25,150
