Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,959.677489533223,1378.47754225281,1751.37081169658,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,600.610461175289,862.714861400921,1096.08867809711,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,29.9667815737667,43.0441850137849,54.6881083918194,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,30884.7248849639,44362.7157215979,56363.3160939452,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,15620.8016337089,22437.6673193898,28507.3020206888,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,964.402952750045,1385.26518184233,1759.99458211941,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,437.061066605966,627.863238235305,797.718952229581,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,503.86932738075,723.837128741416,919.656639792105,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,27.2432876249832,39.1365419968163,49.7241427342319,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,12487.863225741,17939.5302913634,22792.7077682386,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,12523.964250688,17991.3914800134,22858.5989536941,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,778.404840134229,1118.22310639563,1420.73577567624,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,522.855337370188,750.943679274082,954.068007463461,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,719.025116500839,1032.68978603412,1312.02420858227,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,32.7156317221811,46.9873693530575,59.6970812750651,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,18413.3483871436,26445.9145719825,33599.3253790093,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,19096.553240427,27427.158005019,34845.9874028494,EPA,attributable
2002,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,1152.14339713147,1654.74987028902,2102.34662754363,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,4090.98464201278,5813.47786271148,7375.59395872182,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,510.278785816584,725.129689975193,919.976352705395,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,31.5814380887837,44.8786801388251,56.9378485519753,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,100537.632034247,142868.612166915,181258.258425326,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,11674.634430138,16590.1939884731,21048.077836549,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,776.12684464157,1102.91204314078,1399.27107223844,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,1899.57067662264,2699.45412739355,3424.82245294927,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,412.466785486265,586.150955158609,743.655145562026,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,28.4323665883499,40.4048505712612,51.2620081372256,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,42887.6789874474,60947.098984932,77324.1489557217,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,9193.01284963333,13064.0658889548,16574.5013887313,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,641.933583257146,912.24310954147,1157.37128199415,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,2192.29925791744,3115.26376093567,3952.34263104896,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,637.260832496106,905.54953689337,1148.87287685565,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,34.9495828290478,49.6634610689872,63.0081525839864,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,57687.3079678188,81973.8360668868,104000.403105663,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,14720.1126742946,20917.3238578211,26537.8591204402,EPA,attributable
2002,us,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,919.649696876374,1306.82495242734,1657.97196229888,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,30265.1204790321,43152.951973893,54778.0177682799,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,1235.85927388962,1762.12666754779,2236.82972982449,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,80.1758517892881,114.317228114988,145.113390080285,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,absolute number,843714.26529927,1202994.0933284,1527071.23858747,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,32399.9490978676,46196.8571493218,58641.9270527588,EPA,attributable
2002,us,Black or African American,All Origins,A,666,nvss,YLL,crude rate,2235.09798792996,3186.87236672026,4045.39071243736,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,15067.2742310909,21479.0386968582,27264.5982619499,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,997.52810912841,1422.0186430908,1805.05131407696,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,76.210019961285,108.640616924529,137.903880019125,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,absolute number,368300.401720978,525027.849052466,666448.512094957,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,25172.163763662,35883.9874599005,45549.6410216041,EPA,attributable
2002,us,Black or African American,All Origins,F,666,nvss,YLL,crude rate,1862.85724520677,2655.58204110697,3370.88537919627,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,15186.9929789328,21658.9845394049,27494.560042728,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,1573.35456712575,2243.84526230112,2848.40400429152,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,84.4768500334847,120.476962842544,152.93704479143,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,absolute number,474486.998173961,676691.335266596,859012.134850179,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,41690.0353864596,59456.3935820047,75475.7167996673,EPA,attributable
2002,us,Black or African American,All Origins,M,666,nvss,YLL,crude rate,2639.30898257363,3764.05997734858,4778.20984004837,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,11310.2576915345,16112.034016812,20448.0102868331,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,698.937717337799,995.672122113399,1263.62157465927,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,31.7538382076738,45.234948249616,57.4083127038685,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,335045.475780578,477289.222773069,605734.504214345,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,17160.7426380815,24446.3456695134,31025.2030999992,EPA,attributable
2002,us,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,940.648756227065,1340.00171981458,1700.61513788711,EPA,attributable
2002,us,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,4954.94067671328,7058.58918818717,8958.15150726972,EPA,attributable
