Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,1144.50004310729,1779.76590159125,2275.23486173652,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,580.276878708535,902.365192930301,1153.57460390549,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,31.0357490898023,48.2624428832752,61.698222481068,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,38322.0334652684,59593.0501286398,76183.1570369268,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,15111.3724242194,23499.0863729924,30040.9961147067,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,1039.19001349271,1616.00251780426,2065.88139590433,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,520.707589558348,809.653116950103,1035.04949355544,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,495.965868377827,771.181982527979,985.868520412127,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,28.2487694337443,43.9242766586811,56.1521957472545,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,15408.5528090399,23958.9033455627,30628.7350160312,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,12224.5227928472,19008.0251967352,24299.5999663177,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,835.925314588613,1299.78811537627,1661.63138557089,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,624.073575767267,970.565418737983,1240.76458887334,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,677.936107997598,1054.33296342876,1347.85247923351,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,33.8363131315647,52.6225699953905,67.2723550265042,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,22933.9907194214,35667.1699784148,45596.6806978217,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,18238.0067518584,28363.9291061169,36260.2645393495,attributable,EPA
2006,us,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,1243.4458395145,1933.81931036358,2472.18216851218,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,4683.82945123008,7341.39829138234,9387.39428619997,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,447.317060409255,701.121323307841,896.518897779852,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,31.1635122080058,48.845449574865,62.4583323294421,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,117809.313694683,184653.413040036,236115.018651708,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,10336.3946631222,16201.1855702752,20716.3418759875,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,783.835539651614,1228.57780186933,1570.97378178738,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,2223.74618471533,3485.29726990224,4456.6167068232,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,365.965253295481,573.580612282466,733.432112515217,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,28.5143846705807,44.6908499398006,57.1457677954198,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,51147.6940922702,80164.2380802574,102505.254229935,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,8199.20123879727,12850.6813814353,16432.0449314709,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,655.850489765709,1027.92033423414,1314.3920245746,attributable,EPA
2006,us,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,2461.0374902563,3857.6337122749,4932.73909145029,attributable,EPA
