Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2012,us,All,All Origins,A,1,nvss,Deaths,absolute number,17326.4407396445,17814.5094928739,18302.5782461034,attributable,DI
2012,us,All,All Origins,A,1,nvss,Deaths,age-adjusted rate,10.8914980924624,11.1983008556304,11.5051036187983,attributable,DI
2012,us,All,All Origins,A,1,nvss,Deaths,crude rate,140.194569347532,144.143712146054,148.092854944576,attributable,DI
2012,us,All,All Origins,A,1,nvss,YLL,absolute number,277541.186749042,285359.248347607,293177.309946171,attributable,DI
2012,us,All,All Origins,A,1,nvss,YLL,age-adjusted rate,312.538762248827,321.342671044569,330.146579840311,attributable,DI
2012,us,All,All Origins,A,1,nvss,YLL,crude rate,2245.68725551669,2308.94605144674,2372.20484737678,attributable,DI
2012,us,All,All Origins,A,2,nvss,Deaths,absolute number,15248.7853534504,15678.3286028434,16107.8718522363,attributable,DI
2012,us,All,All Origins,A,2,nvss,Deaths,age-adjusted rate,11.8104689607535,12.1431582272536,12.4758474937537,attributable,DI
2012,us,All,All Origins,A,2,nvss,Deaths,crude rate,90.6534461424533,93.2070643436492,95.7606825448451,attributable,DI
2012,us,All,All Origins,A,2,nvss,YLL,absolute number,331987.246924788,341339.000359289,350690.75379379,attributable,DI
2012,us,All,All Origins,A,2,nvss,YLL,age-adjusted rate,412.214063497955,423.825727258461,435.437391018967,attributable,DI
2012,us,All,All Origins,A,2,nvss,YLL,crude rate,1973.6514949545,2029.24731171378,2084.84312847306,attributable,DI
2012,us,All,All Origins,A,3,nvss,Deaths,absolute number,54149.1772818544,55674.5062193714,57199.8351568884,attributable,DI
2012,us,All,All Origins,A,3,nvss,Deaths,age-adjusted rate,11.0775460320285,11.3895895822265,11.7016331324245,attributable,DI
2012,us,All,All Origins,A,3,nvss,Deaths,crude rate,93.8349180472616,96.4781551753535,99.1213923034454,attributable,DI
2012,us,All,All Origins,A,3,nvss,YLL,absolute number,1103710.33128404,1134800.7631512,1165891.19501836,attributable,DI
2012,us,All,All Origins,A,3,nvss,YLL,age-adjusted rate,355.542996839988,365.558292525621,375.573588211254,attributable,DI
