Year,Race,Hispanic.Origin,nation,measure1,measure2,attr,mean,lower,upper,source
2003,American Indian or Alaska Native,All Origins,us,Deaths,age-adjusted rate,attributable,31.692847090006,22.4950783317086,44.9062705734263,wonder
2003,American Indian or Alaska Native,All Origins,us,YLL,crude rate,attributable,170.948658171134,122.16745950597,240.17997756585,wonder
2003,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,6.28227923800878,4.86260786940095,8.08821666147283,wonder
2003,American Indian or Alaska Native,Hispanic or Latino,us,YLL,crude rate,attributable,21.2014636851252,16.7846419121837,27.3148169881334,wonder
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,150.790687938538,102.841226052629,219.221379037374,wonder
2003,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,crude rate,attributable,219.216069304443,152.75281221929,315.434714211334,wonder
2003,Asian or Pacific Islander,All Origins,us,Deaths,age-adjusted rate,attributable,28.6706112359482,22.0505967102813,37.2046652517883,wonder
2003,Asian or Pacific Islander,All Origins,us,YLL,crude rate,attributable,177.440118468178,139.528302610653,230.158339137996,wonder
2003,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,19.8443191070218,15.0185071130608,26.2264156703068,wonder
2003,Asian or Pacific Islander,Hispanic or Latino,us,YLL,crude rate,attributable,68.6879932793071,52.5353879521059,90.2345707513533,wonder
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,124.9512442856,95.3511889881756,162.19675339524,wonder
2003,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,crude rate,attributable,187.759177536113,147.564963083438,244.015503620045,wonder
2003,Black or African American,All Origins,us,Deaths,age-adjusted rate,attributable,74.0546962325672,57.7709905843893,94.9123509061879,wonder
2003,Black or African American,All Origins,us,YLL,crude rate,attributable,503.665893579344,395.712160161449,648.289586654698,wonder
2003,Black or African American,Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,15.5743453665322,12.1377546993413,19.898305640864,wonder
2003,Black or African American,Hispanic or Latino,us,YLL,crude rate,attributable,54.966226636175,42.3661682267331,69.2935029535313,wonder
2003,Black or African American,Not Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,324.329094405737,249.415732790009,416.83710502086,wonder
2003,Black or African American,Not Hispanic or Latino,us,YLL,crude rate,attributable,538.152321092004,421.466290042809,692.086511812443,wonder
2003,White,All Origins,us,Deaths,age-adjusted rate,attributable,47.255235878544,35.0946413990053,63.3836707734588,wonder
2003,White,All Origins,us,YLL,crude rate,attributable,412.620582836761,309.088998021778,558.196602123053,wonder
2003,White,Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,35.3516396384621,26.6388764819438,46.5653442472715,wonder
2003,White,Hispanic or Latino,us,YLL,crude rate,attributable,153.203859949583,117.454278171067,199.958152384939,wonder
2003,White,Not Hispanic or Latino,us,Deaths,age-adjusted rate,attributable,48.0515911302618,35.6416676788927,64.5676180692813,wonder
2003,White,Not Hispanic or Latino,us,YLL,crude rate,attributable,459.465961560465,343.650125169854,622.921847858478,wonder
