Year,Race,Hispanic.Origin,Education,Gender.Code,nation,measure1,measure2,attr,mean,lower,upper,source,method
2014,American Indian or Alaska Native,All Origins,666,A,us,Deaths,absolute number,attributable,152.875958143144,91.2682078315709,244.371531018122,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,A,us,Deaths,age-adjusted rate,attributable,60.6185195095643,35.8247246389651,98.0907027352726,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,A,us,Deaths,crude rate,attributable,3.38817299871088,2.02276722364751,5.41597928873796,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,A,us,YLL,absolute number,attributable,4113.32317061526,2454.65121314691,6612.07848123851,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,A,us,YLL,age-adjusted rate,attributable,1476.42563861251,880.007060441515,2371.53546125923,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,A,us,YLL,crude rate,attributable,91.1631277470129,54.4021640986211,146.542766093494,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,Deaths,absolute number,attributable,64.6873937681311,38.7806317605813,103.719469138525,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,Deaths,age-adjusted rate,attributable,47.7054321403635,28.1282868113073,77.6771275689384,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,Deaths,crude rate,attributable,2.8790515423121,1.72601539771951,4.6162579785086,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,YLL,absolute number,attributable,1611.73478714441,966.674490358879,2599.96836759675,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,YLL,age-adjusted rate,attributable,1119.99360035614,669.602501312482,1808.13714749881,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,F,us,YLL,crude rate,attributable,71.7337220503736,43.0239266147808,115.717182323396,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,M,us,Deaths,absolute number,attributable,88.5107636810073,52.9054514422158,141.648223919936,wonder,GBD
2014,American Indian or Alaska Native,All Origins,666,M,us,Deaths,age-adjusted rate,attributable,75.987895719458,44.8818953073861,122.331209586221,wonder,GBD
