Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,1102.71432948564,1585.61304637974,2014.89973255663,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,583.723577873003,839.3467789492,1066.59036660196,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,31.0243073424732,44.6104173689902,56.6881801529344,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,36848.4880511126,52985.1130350921,67330.2293568048,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,15288.7216693276,21983.9317338538,27935.8310479471,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,1036.71348765044,1490.70923213916,1894.30179072678,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,498.642941757971,717.067015950581,911.214145752237,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,489.173952168878,703.450258266655,893.910627468907,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,28.0349896554946,40.3153533139317,51.2308046716595,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,14916.7845943228,21450.888643723,27258.7536957124,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,12248.5674538161,17613.8935864862,22382.8856170495,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,838.660024587415,1206.02417254275,1532.55729477846,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,604.360272299326,868.948897557419,1104.19553878641,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,697.676641022221,1003.11912588384,1274.68907180364,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,34.0348329373038,48.9352657925428,62.1832910190008,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,21950.9482717334,31561.0624578176,40105.4474702048,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,18666.4284689532,26838.5815264141,34104.4704379334,EPA,attributable
2005,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,1236.17797444141,1777.3760740243,2258.55713402714,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,4336.83403481128,6191.81214826482,7861.122466156,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,440.257020156627,628.566540449431,798.027852635306,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,29.9207207493153,42.7186008810484,54.2355202431115,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,109601.619043572,156481.117519411,198668.370261485,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,10128.6549679265,14460.9474037019,18359.6135985809,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,756.164384145788,1079.5958024349,1370.65444068213,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,absolute number,2041.7012509935,2915.20283913843,3701.17413321437,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,age-adjusted rate,355.416548674802,507.474505033186,644.295308058118,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,Deaths,crude rate,27.1859786506046,38.8169631127151,49.282450563604,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,absolute number,47487.6054383186,67804.2402777136,86085.0218958672,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,age-adjusted rate,7976.64512584973,11389.295327297,14459.9767450108,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,F,666,wonder,YLL,crude rate,632.314363811188,902.837585916848,1146.25269796894,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,absolute number,2296.24386461369,3278.15006290101,4161.89724521161,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,age-adjusted rate,551.42141437626,787.216972935323,999.440565006947,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,Deaths,crude rate,32.8772650597418,46.9360463775207,59.5894020625946,EPA,attributable
2005,us,Asian or Pacific Islander,All Origins,M,666,wonder,YLL,absolute number,62163.8232245394,88745.9490492635,112670.717869749,EPA,attributable
