Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,absolute number,all-cause,1045.40068200874,1507.80621523055,1916.78004327439,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,age-adjusted rate,all-cause,530.146072858134,764.642263385168,972.042040877749,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,Deaths,crude rate,all-cause,28.3484421521248,40.887630938737,51.9778962365907,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,absolute number,all-cause,34997.1585968904,50477.2324678466,64168.5588351928,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,age-adjusted rate,all-cause,13800.9471734209,19905.4336602953,25304.5368876813,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,A,666,wonder,YLL,crude rate,all-cause,949.0283898288,1368.80617091671,1740.07795234007,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,absolute number,all-cause,475.952036062247,686.531674955182,872.75345372359,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,age-adjusted rate,all-cause,453.430132411157,654.045207695402,831.455029288764,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,Deaths,crude rate,all-cause,25.8207477629572,37.2448479408961,47.3475163049819,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,absolute number,all-cause,14079.2648832101,20308.4776827045,25817.1540863076,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,age-adjusted rate,all-cause,11171.7036226578,16114.4985608657,20485.5577493019,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,F,666,wonder,YLL,crude rate,all-cause,763.810467636457,1101.74984024268,1400.59958380505,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,absolute number,all-cause,569.684667851838,821.604195455308,1044.44398182866,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,age-adjusted rate,all-cause,618.988927067822,892.711228014949,1134.83703560494,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,Deaths,crude rate,all-cause,30.8874298739333,44.5461206933082,56.6281524964166,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,absolute number,all-cause,20935.172189271,30192.8878797872,38381.9608206791,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,age-adjusted rate,all-cause,16647.3187761187,24008.9082985436,30520.7299590208,EPA,attributable
2006,us,American Indian or Alaska Native,All Origins,M,666,wonder,YLL,crude rate,all-cause,1135.07296121054,1637.01212215352,2081.01111048526,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,absolute number,all-cause,4170.99381675276,5975.55381038016,7590.08664652676,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,age-adjusted rate,all-cause,398.12902224439,570.37758875115,724.487713981913,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,Deaths,crude rate,all-cause,27.7513983122838,39.7579045220087,50.5000791193922,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,absolute number,all-cause,104590.063872892,149840.441429887,190325.778948061,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,age-adjusted rate,all-cause,9181.15447121341,13153.3358701692,16707.231181155,EPA,attributable
2006,us,Asian or Pacific Islander,All Origins,A,666,wonder,YLL,crude rate,all-cause,695.882240435329,996.95227470909,1266.31846814756,EPA,attributable
