"Notes"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	277	640108	43.3
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	312	736712	42.4
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	304	819168	37.1
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	396	907535	43.6
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	406	1000953	40.6
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	487	1101386	44.2
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	566	1209963	46.8
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	626	1327365	47.2
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	610	1455459	41.9
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	673	1589064	42.4
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	692	1693971	40.9
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	730	1748621	41.7
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2012"	"2012"	776	1777935	43.6
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2013"	"2013"	780	1814934	43.0
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2014"	"2014"	813	1851684	43.9
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2015"	"2015"	921	1888147	48.8
	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	"2016"	"2016"	995	1919088	51.8
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	510	402132	126.8
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	454	446003	101.8
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	553	481379	114.9
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	665	518772	128.2
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	760	560484	135.6
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	775	606122	127.9
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	776	653855	118.7
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	759	704672	107.7
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	863	758518	113.8
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	943	815036	115.7
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	946	859454	110.1
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	865	891649	97.0
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	890	912363	97.5
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	948	936266	101.3
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	876	961306	91.1
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	1066	986160	108.1
	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	1148	1007794	113.9
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2000"	"2000"	1519	1502500	101.1
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2001"	"2001"	1627	1611386	101.0
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2002"	"2002"	1767	1698520	104.0
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2003"	"2003"	1789	1787536	100.1
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2004"	"2004"	1976	1889807	104.6
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2005"	"2005"	2391	2009995	119.0
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2006"	"2006"	2145	2137612	100.3
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2007"	"2007"	2135	2266409	94.2
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2008"	"2008"	2107	2397226	87.9
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2009"	"2009"	2036	2527635	80.5
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2010"	"2010"	2143	2628201	81.5
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2011"	"2011"	1980	2733919	72.4
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2012"	"2012"	2280	2811704	81.1
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2013"	"2013"	2298	2894185	79.4
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2014"	"2014"	3324	2992875	111.1
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2015"	"2015"	2808	3085713	91.0
	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	"2016"	"2016"	3285	3165351	103.8
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2000"	"2000"	104948	32761078	320.3
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2001"	"2001"	111020	34349995	323.2
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2002"	"2002"	114511	35618553	321.5
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2003"	"2003"	119176	36835586	323.5
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2004"	"2004"	119274	38050131	313.5
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2005"	"2005"	127508	39306111	324.4
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2006"	"2006"	129517	40604875	319.0
	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	"2007"	"2007"	131999	41898407	315.0
