Year,Gender.Code,STATEFP,source,measure1,measure2,overall_value,Education,Ethnicity
2000,A,1,nvss,Deaths,age-adjusted rate,4807.83983849015,666,"American Indian or Alaska Native, All Origins"
2000,A,1,nvss,YLL,crude rate,4527.90154887625,666,"American Indian or Alaska Native, All Origins"
2000,A,2,nvss,Deaths,age-adjusted rate,11673.8140561619,666,"American Indian or Alaska Native, All Origins"
2000,A,2,nvss,YLL,crude rate,21120.1289806189,666,"American Indian or Alaska Native, All Origins"
2000,A,2,wonder,Deaths,age-adjusted rate,2045.77952906611,666,"American Indian or Alaska Native, All Origins"
2000,A,2,wonder,YLL,crude rate,21949.8342942954,666,"American Indian or Alaska Native, All Origins"
2000,A,4,nvss,Deaths,age-adjusted rate,10437.5733682769,666,"American Indian or Alaska Native, All Origins"
2000,A,4,nvss,YLL,crude rate,19101.8023254134,666,"American Indian or Alaska Native, All Origins"
2000,A,4,wonder,Deaths,age-adjusted rate,1933.30049694851,666,"American Indian or Alaska Native, All Origins"
2000,A,4,wonder,YLL,crude rate,20879.2275315191,666,"American Indian or Alaska Native, All Origins"
2000,A,5,nvss,Deaths,age-adjusted rate,4577.12434223577,666,"American Indian or Alaska Native, All Origins"
2000,A,5,nvss,YLL,crude rate,5154.43301889505,666,"American Indian or Alaska Native, All Origins"
2000,A,6,nvss,Deaths,age-adjusted rate,4820.64223370835,666,"American Indian or Alaska Native, All Origins"
2000,A,6,nvss,YLL,crude rate,6227.05901140211,666,"American Indian or Alaska Native, All Origins"
2000,A,6,wonder,Deaths,age-adjusted rate,853.775078803489,666,"American Indian or Alaska Native, All Origins"
2000,A,6,wonder,YLL,crude rate,6338.76563130335,666,"American Indian or Alaska Native, All Origins"
2000,A,8,nvss,Deaths,age-adjusted rate,5061.68844578978,666,"American Indian or Alaska Native, All Origins"
2000,A,8,nvss,YLL,crude rate,8043.63293369342,666,"American Indian or Alaska Native, All Origins"
2000,A,8,wonder,Deaths,age-adjusted rate,340.467948436083,666,"American Indian or Alaska Native, All Origins"
2000,A,8,wonder,YLL,crude rate,2733.92389185318,666,"American Indian or Alaska Native, All Origins"
2000,A,9,nvss,Deaths,age-adjusted rate,6292.78441550012,666,"American Indian or Alaska Native, All Origins"
2000,A,9,nvss,YLL,crude rate,8834.81405393041,666,"American Indian or Alaska Native, All Origins"
2000,A,10,nvss,Deaths,age-adjusted rate,5758.20677811121,666,"American Indian or Alaska Native, All Origins"
2000,A,10,nvss,YLL,crude rate,5928.01274838324,666,"American Indian or Alaska Native, All Origins"
2000,A,11,nvss,Deaths,age-adjusted rate,3892.77313651006,666,"American Indian or Alaska Native, All Origins"
2000,A,11,nvss,YLL,crude rate,5115.32125141388,666,"American Indian or Alaska Native, All Origins"
2000,A,12,nvss,Deaths,age-adjusted rate,4035.14287610986,666,"American Indian or Alaska Native, All Origins"
2000,A,12,nvss,YLL,crude rate,6204.28609271896,666,"American Indian or Alaska Native, All Origins"
2000,A,12,wonder,Deaths,age-adjusted rate,514.06047873728,666,"American Indian or Alaska Native, All Origins"
2000,A,12,wonder,YLL,crude rate,3113.92228040965,666,"American Indian or Alaska Native, All Origins"
2000,A,13,nvss,Deaths,age-adjusted rate,8382.88766225597,666,"American Indian or Alaska Native, All Origins"
2000,A,13,nvss,YLL,crude rate,11163.1219201643,666,"American Indian or Alaska Native, All Origins"
2000,A,13,wonder,Deaths,age-adjusted rate,243.78679076961,666,"American Indian or Alaska Native, All Origins"
2000,A,13,wonder,YLL,crude rate,3071.8331327707,666,"American Indian or Alaska Native, All Origins"
2000,A,15,nvss,Deaths,age-adjusted rate,22707.9258220872,666,"American Indian or Alaska Native, All Origins"
2000,A,15,nvss,YLL,crude rate,19934.5595861202,666,"American Indian or Alaska Native, All Origins"
2000,A,16,nvss,Deaths,age-adjusted rate,9301.95219497172,666,"American Indian or Alaska Native, All Origins"
2000,A,16,nvss,YLL,crude rate,16480.7253761327,666,"American Indian or Alaska Native, All Origins"
2000,A,16,wonder,Deaths,age-adjusted rate,513.71881545239,666,"American Indian or Alaska Native, All Origins"
