Year,Gender.Code,STATEFP,measure1,measure2,attr,mean,lower,upper,source,Education,Ethnicity
2000,A,2,Deaths,age-adjusted rate,attributable,1.19390690864293,1.19390690864293,1.19390690864293,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,2,YLL,crude rate,attributable,7.34297983920599,7.34297983920599,7.34297983920599,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,4,Deaths,age-adjusted rate,attributable,4.24981099789408,4.24981099789408,4.24981099789408,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,4,YLL,crude rate,attributable,21.0802575756499,21.0802575756499,21.0802575756499,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,6,Deaths,age-adjusted rate,attributable,15.4203202932678,15.4203202932678,15.4203202932678,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,6,YLL,crude rate,attributable,67.9267152891597,67.9267152891597,67.9267152891597,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,26,Deaths,age-adjusted rate,attributable,23.1808903503695,23.1808903503695,23.1808903503695,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,26,YLL,crude rate,attributable,89.9987271171241,89.9987271171241,89.9987271171241,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,35,Deaths,age-adjusted rate,attributable,1.45240145457897,1.45240145457897,1.45240145457897,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,35,YLL,crude rate,attributable,5.55337907731689,5.55337907731689,5.55337907731689,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,37,Deaths,age-adjusted rate,attributable,25.9889560911653,25.9889560911653,25.9889560911653,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,37,YLL,crude rate,attributable,157.596079347585,157.596079347585,157.596079347585,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,38,Deaths,age-adjusted rate,attributable,3.33778073454572,3.33778073454572,3.33778073454572,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,38,YLL,crude rate,attributable,4.84327439398529,4.84327439398529,4.84327439398529,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,40,Deaths,age-adjusted rate,attributable,18.7556037686076,18.7556037686076,18.7556037686076,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,40,YLL,crude rate,attributable,137.91669372847,137.91669372847,137.91669372847,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,53,Deaths,age-adjusted rate,attributable,5.54755480998548,5.54755480998548,5.54755480998548,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,53,YLL,crude rate,attributable,27.1994898502822,27.1994898502822,27.1994898502822,wonder,666,"American Indian or Alaska Native, All Origins"
2000,A,6,Deaths,age-adjusted rate,attributable,14.5869437454446,14.5869437454446,14.5869437454446,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,6,YLL,crude rate,attributable,116.738955402313,116.738955402313,116.738955402313,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,12,Deaths,age-adjusted rate,attributable,3.11979763666102,3.11979763666102,3.11979763666102,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,12,YLL,crude rate,attributable,16.0095177667985,16.0095177667985,16.0095177667985,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,15,Deaths,age-adjusted rate,attributable,0.641312906867817,0.641312906867817,0.641312906867817,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,15,YLL,crude rate,attributable,7.92958450908909,7.92958450908909,7.92958450908909,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,17,Deaths,age-adjusted rate,attributable,6.82762118914104,6.82762118914104,6.82762118914104,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,17,YLL,crude rate,attributable,33.6475149834445,33.6475149834445,33.6475149834445,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,24,Deaths,age-adjusted rate,attributable,3.11633839431296,3.11633839431296,3.11633839431296,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,24,YLL,crude rate,attributable,8.67451476497675,8.67451476497675,8.67451476497675,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,25,Deaths,age-adjusted rate,attributable,0.686366528357892,0.686366528357892,0.686366528357892,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,25,YLL,crude rate,attributable,2.37480459877328,2.37480459877328,2.37480459877328,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,32,Deaths,age-adjusted rate,attributable,1.32924829749738,1.32924829749738,1.32924829749738,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,32,YLL,crude rate,attributable,3.61358597527714,3.61358597527714,3.61358597527714,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,34,Deaths,age-adjusted rate,attributable,5.88531092750831,5.88531092750831,5.88531092750831,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,34,YLL,crude rate,attributable,26.7135407552019,26.7135407552019,26.7135407552019,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,36,Deaths,age-adjusted rate,attributable,11.0381697715854,11.0381697715854,11.0381697715854,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,36,YLL,crude rate,attributable,68.0585411156465,68.0585411156465,68.0585411156465,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,42,Deaths,age-adjusted rate,attributable,5.61942263202869,5.61942263202869,5.61942263202869,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,42,YLL,crude rate,attributable,19.9081687474047,19.9081687474047,19.9081687474047,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,48,Deaths,age-adjusted rate,attributable,6.07252415006421,6.07252415006421,6.07252415006421,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,48,YLL,crude rate,attributable,31.8191153047453,31.8191153047453,31.8191153047453,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,51,Deaths,age-adjusted rate,attributable,3.19044218047277,3.19044218047277,3.19044218047277,wonder,666,"Asian or Pacific Islander, All Origins"
2000,A,51,YLL,crude rate,attributable,8.52322410419964,8.52322410419964,8.52322410419964,wonder,666,"Asian or Pacific Islander, All Origins"
