Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value
1990,Alabama,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,985.188527966906
1990,Alabama,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,204.838447435527
1990,Alabama,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,538.483978979622
1990,Alabama,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1214.7082868494
1990,Alabama,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,930.14851359446
1990,Delaware,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,946.679133803478
1990,Delaware,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1098.83712799183
1990,Delaware,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,329.978396994757
1990,Delaware,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1220.55206811053
1990,Delaware,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,908.963897619127
1990,District of Columbia,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1163.42068786303
1990,District of Columbia,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,304.835842692751
1990,District of Columbia,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,418.240341435952
1990,District of Columbia,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1337.76453705765
1990,District of Columbia,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,834.006075166497
1990,Florida,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,827.307316045143
1990,Florida,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,303.045824288893
1990,Florida,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,344.188084760361
1990,Florida,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1193.64895494832
1990,Florida,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,795.556196892868
1990,Georgia,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,978.244935326059
1990,Georgia,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,272.816410435759
1990,Georgia,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,485.068114018882
1990,Georgia,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,1205.33426087978
1990,Georgia,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,920.1500355889
1990,Hawaii,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,725.649660647496
1990,Hawaii,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,660.085249602781
1990,Hawaii,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,710.954083632923
1990,Hawaii,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,645.159496595886
1990,Hawaii,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,769.577052440889
1990,Idaho,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,806.918775901848
1990,Idaho,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,927.145550684607
1990,Idaho,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,370.613422378731
1990,Idaho,Black or African American,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,STATEFP,550.397244058467
