Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,52733.6799449811,211208.080767257,406012.109560268,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,42.5658973414484,170.484242575206,327.727361203665,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,58.1064780014409,232.727124517644,447.378861803247,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,1199449.59893938,4804016.10570993,9234915.19053267,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,917.930707948817,3676.48120338796,7067.4184610915,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,1321.65613716555,5293.47575318551,10175.8192662398,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,16058.433078248,65390.4053470651,127580.23501867,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,24.0867109137553,98.0817855922385,191.362894762514,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,35.5374801053084,144.709649925129,282.336392455869,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,348327.54012577,1418399.84831541,2767375.19882414,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,507.238599885464,2065.49029363996,4029.88382917549,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,770.852483989745,3138.93367710697,6124.23021554643,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,379.991899918677,1562.54371303025,3075.82309030575,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,0.978926961765303,4.02539151479159,7.92386930712198,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,1.69436295686317,6.96729637238189,13.7149257844544,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,7908.16659687268,32518.7352682617,64012.2103283025,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,20.9135927161995,85.997630008867,169.283901555542,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,35.2620793793536,144.999249863943,285.426920917056,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,98402.7791754749,397055.170109594,768436.621992702,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,43.0098103289225,173.544565505401,335.867682179664,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,62.0623324576264,250.42148380198,484.650631885939,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,absolute number,A,2166542.45865527,8741997.85492874,16918735.2459224,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,915.962488718029,3695.90823368317,7152.83782226686,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,1366.43171543816,5513.55136270038,10670.5946762192,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,65.3370669707465,262.972370223148,507.895641147519,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,18.8268489071675,75.7753800483209,146.34991957589,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,17.6394540462001,70.9962851875249,137.119742860484,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,2130.68746190394,8575.71296110509,16562.8321674311,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,470.254864779963,1892.7087200826,3655.51144432449,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,575.234936516157,2315.23852698415,4471.57073982423,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,31.6949834865528,131.029565494032,259.218328963232,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,9.30491323461057,38.467246358023,76.1004990220915,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,9.7384290953358,40.2594351720572,79.64602088816,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,1001.5738167678,4140.58527832849,8191.40010677173,EPA,attributable,25,150,nation,value
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,240.496891580101,994.23314796096,1966.91070631713,EPA,attributable,25,150,nation,value
