Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,5.19847871019898,20.8208627282624,40.0246163331317,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,5.19847871019898,20.8208627282624,40.0246163331317,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,5.19847871019898,20.8208627282624,40.0246163331317,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,5.198478710199,20.8208627282624,40.0246163331317,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,5.19847871019898,20.8208627282624,40.0246163331317,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,5.19847871019899,20.8208627282624,40.0246163331319,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,4.39329972238202,17.8896439184247,34.9036676466386,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,4.39329972238204,17.8896439184247,34.9036676466385,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,4.39329972238203,17.8896439184247,34.9036676466386,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,4.39329972238203,17.8896439184247,34.9036676466385,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,4.39329972238203,17.8896439184246,34.9036676466386,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,4.39329972238204,17.8896439184247,34.9036676466386,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,3.88539774967972,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,3.88539774967973,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,3.88539774967972,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,3.88539774967973,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,3.88539774967973,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,3.88539774967973,15.9769295810864,31.4501338477071,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,4.78275434034727,19.2984116313686,37.3489816030864,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,4.78275434034727,19.2984116313686,37.3489816030865,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,4.78275434034728,19.2984116313686,37.3489816030865,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,absolute number,A,4.78275434034726,19.2984116313686,37.3489816030865,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,4.78275434034727,19.2984116313687,37.3489816030865,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,"All, All Origins",All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,4.78275434034726,19.2984116313687,37.3489816030865,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,4.84696342512956,19.5083360699665,37.6777181860177,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,4.84696342512957,19.5083360699665,37.6777181860177,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,4.84696342512957,19.5083360699665,37.6777181860177,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,4.84696342512956,19.5083360699664,37.6777181860177,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,4.84696342512956,19.5083360699664,37.6777181860178,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,4.84696342512956,19.5083360699665,37.6777181860178,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,3.49834254818464,14.4624244474649,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,3.49834254818463,14.462424447465,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,3.49834254818463,14.462424447465,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,3.49834254818462,14.4624244474649,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,3.49834254818464,14.4624244474649,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,3.49834254818463,14.462424447465,28.6112945875532,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,2.64739989955562,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,2.64739989955561,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,2.64739989955562,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,2.64739989955562,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,2.64739989955562,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,2.64739989955562,11.1336510073378,22.3707623235644,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,3.71351199832195,15.2210546485919,29.8912768588958,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,3.71351199832195,15.2210546485918,29.8912768588959,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,3.71351199832195,15.2210546485918,29.8912768588959,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,absolute number,A,3.71351199832194,15.2210546485919,29.8912768588958,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,3.71351199832194,15.2210546485919,29.8912768588959,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,American Indian or Alaska Native,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,3.71351199832194,15.2210546485919,29.8912768588958,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,5.72783392001097,22.6727363841493,43.1291890792011,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,5.72783392001096,22.6727363841492,43.1291890792011,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,5.72783392001096,22.6727363841493,43.1291890792012,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,5.72783392001097,22.6727363841493,43.129189079201,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,5.72783392001097,22.6727363841493,43.1291890792012,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,5.72783392001097,22.6727363841493,43.1291890792011,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,2.97878940528717,12.2346517971132,24.0752193212757,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,2.97878940528716,12.2346517971132,24.0752193212757,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,2.97878940528716,12.2346517971132,24.0752193212757,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,2.97878940528716,12.2346517971131,24.0752193212756,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,2.97878940528716,12.2346517971132,24.0752193212756,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,2.97878940528716,12.2346517971131,24.0752193212756,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,2.38788344452907,9.98078057166757,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,2.38788344452906,9.98078057166755,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,2.38788344452905,9.98078057166756,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,2.38788344452906,9.98078057166757,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,2.38788344452906,9.98078057166756,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,2.38788344452906,9.98078057166755,19.9515363147217,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,5.05669313886738,20.1240953119718,38.476526086472,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,5.05669313886739,20.1240953119718,38.4765260864721,EPA,attributable,25,150,nation,prop. of overall burden
1990,United States,Asian or Pacific Islander,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,5.05669313886738,20.1240953119718,38.4765260864721,EPA,attributable,25,150,nation,prop. of overall burden
