Year,Region,source,Gender.Code,Ethnicity,Education,rural_urban_class,attr,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper,agr_by,measure3
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,absolute number,A,GBD,25,150,1.91286888006331,1.91286888006331,1.91286888006331,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,absolute number,A,EPA,25,150,11.1432631715438,11.1432631715438,11.1432631715438,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,absolute number,A,burnett,25,150,8.67307641667042,8.67307641667042,8.67307641667042,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"age-adjusted rate per 100,000",A,GBD,25,150,0.583182103301332,0.583182103301332,0.583182103301332,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"age-adjusted rate per 100,000",A,EPA,25,150,13.242413503565,13.242413503565,13.242413503565,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"age-adjusted rate per 100,000",A,burnett,25,150,9.57813873121802,9.57813873121802,9.57813873121802,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"crude rate per 100,000",A,GBD,25,150,0.987512780765146,0.987512780765146,0.987512780765146,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"crude rate per 100,000",A,EPA,25,150,12.5703191824111,12.5703191824111,12.5703191824111,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,Deaths,"crude rate per 100,000",A,burnett,25,150,9.75008263563161,9.75008263563161,9.75008263563161,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,absolute number,A,GBD,25,150,1.92790501763127,1.92790501763127,1.92790501763127,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,absolute number,A,EPA,25,150,11.1833959795869,11.1833959795869,11.1833959795869,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,absolute number,A,burnett,25,150,8.17721257703386,8.17721257703386,8.17721257703386,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"age-adjusted rate per 100,000",A,GBD,25,150,0.962424138861565,0.962424138861565,0.962424138861565,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"age-adjusted rate per 100,000",A,EPA,25,150,13.0229932142896,13.0229932142896,13.0229932142896,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"age-adjusted rate per 100,000",A,burnett,25,150,8.2921263420736,8.2921263420736,8.2921263420736,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"crude rate per 100,000",A,GBD,25,150,1.14546752459211,1.14546752459211,1.14546752459211,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"crude rate per 100,000",A,EPA,25,150,12.6609245925574,12.6609245925574,12.6609245925574,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,large metro,attributable,YLL,"crude rate per 100,000",A,burnett,25,150,9.06606650909055,9.06606650909055,9.06606650909055,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,absolute number,A,GBD,25,150,1.54435686877971,1.54435686877971,1.54435686877971,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,absolute number,A,EPA,25,150,9.90647248266035,9.90647248266035,9.90647248266035,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,absolute number,A,burnett,25,150,7.80827425116114,7.80827425116114,7.80827425116114,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"age-adjusted rate per 100,000",A,GBD,25,150,0.597052061267404,0.597052061267404,0.597052061267404,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"age-adjusted rate per 100,000",A,EPA,25,150,11.0639019817372,11.0639019817372,11.0639019817372,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"age-adjusted rate per 100,000",A,burnett,25,150,8.2553725785199,8.2553725785199,8.2553725785199,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"crude rate per 100,000",A,GBD,25,150,0.790390674254015,0.790390674254015,0.790390674254015,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"crude rate per 100,000",A,EPA,25,150,10.7312183569545,10.7312183569545,10.7312183569545,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,Deaths,"crude rate per 100,000",A,burnett,25,150,8.58484596183199,8.58484596183199,8.58484596183199,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,absolute number,A,GBD,25,150,1.5879994893629,1.5879994893629,1.5879994893629,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,absolute number,A,EPA,25,150,9.92569879704905,9.92569879704905,9.92569879704905,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,absolute number,A,burnett,25,150,7.36619765118575,7.36619765118575,7.36619765118575,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,"age-adjusted rate per 100,000",A,GBD,25,150,0.910076431217832,0.910076431217832,0.910076431217832,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,"age-adjusted rate per 100,000",A,EPA,25,150,10.9166543112776,10.9166543112776,10.9166543112776,nation,proportion of disparity to lower educational attainment
2009,United States,National Vital Statistics System,All genders,"All, All Origins",666,small-medium metro,attributable,YLL,"age-adjusted rate per 100,000",A,burnett,25,150,7.23183891959113,7.23183891959113,7.23183891959113,nation,proportion of disparity to lower educational attainment
