Year,Gender.Code,nation,source,measure1,measure2,overall_value,Education,Ethnicity
2000,A,us,nvss,Deaths,age-adjusted rate,7627.74749345588,666,"American Indian or Alaska Native, All Origins"
2000,A,us,nvss,YLL,crude rate,11786.86067693,666,"American Indian or Alaska Native, All Origins"
2000,A,us,wonder,Deaths,age-adjusted rate,7620.82710939378,666,"American Indian or Alaska Native, All Origins"
2000,A,us,wonder,YLL,crude rate,12721.0104330718,666,"American Indian or Alaska Native, All Origins"
2000,F,us,nvss,Deaths,age-adjusted rate,3606.16994209373,666,"American Indian or Alaska Native, All Origins"
2000,F,us,nvss,YLL,crude rate,4804.8798654591,666,"American Indian or Alaska Native, All Origins"
2000,F,us,wonder,Deaths,age-adjusted rate,3604.7886361135,666,"American Indian or Alaska Native, All Origins"
2000,F,us,wonder,YLL,crude rate,5180.47764455062,666,"American Indian or Alaska Native, All Origins"
2000,M,us,nvss,Deaths,age-adjusted rate,4021.57755136214,666,"American Indian or Alaska Native, All Origins"
2000,M,us,nvss,YLL,crude rate,6981.98081147091,666,"American Indian or Alaska Native, All Origins"
2000,M,us,wonder,Deaths,age-adjusted rate,4016.03847328028,666,"American Indian or Alaska Native, All Origins"
2000,M,us,wonder,YLL,crude rate,7540.53278852115,666,"American Indian or Alaska Native, All Origins"
2000,A,us,nvss,Deaths,age-adjusted rate,4888.95933507743,666,"Asian or Pacific Islander, All Origins"
2000,A,us,nvss,YLL,crude rate,7244.37043113588,666,"Asian or Pacific Islander, All Origins"
2000,A,us,wonder,Deaths,age-adjusted rate,4849.06602875265,666,"Asian or Pacific Islander, All Origins"
2000,A,us,wonder,YLL,crude rate,7729.19961458844,666,"Asian or Pacific Islander, All Origins"
2000,F,us,nvss,Deaths,age-adjusted rate,2217.73010476655,666,"Asian or Pacific Islander, All Origins"
2000,F,us,nvss,YLL,crude rate,3061.3144947946,666,"Asian or Pacific Islander, All Origins"
2000,F,us,wonder,Deaths,age-adjusted rate,2204.55739195888,666,"Asian or Pacific Islander, All Origins"
2000,F,us,wonder,YLL,crude rate,3285.33281724543,666,"Asian or Pacific Islander, All Origins"
2000,M,us,nvss,Deaths,age-adjusted rate,2671.22923031088,666,"Asian or Pacific Islander, All Origins"
2000,M,us,nvss,YLL,crude rate,4183.05593634128,666,"Asian or Pacific Islander, All Origins"
2000,M,us,wonder,Deaths,age-adjusted rate,2644.50863679378,666,"Asian or Pacific Islander, All Origins"
2000,M,us,wonder,YLL,crude rate,4443.866797343,666,"Asian or Pacific Islander, All Origins"
2000,A,us,nvss,Deaths,age-adjusted rate,11861.3599298633,666,"Black or African American, All Origins"
2000,A,us,nvss,YLL,crude rate,21047.9787051608,666,"Black or African American, All Origins"
2000,A,us,wonder,Deaths,age-adjusted rate,11870.1877851978,666,"Black or African American, All Origins"
2000,A,us,wonder,YLL,crude rate,23143.2803211086,666,"Black or African American, All Origins"
2000,F,us,nvss,Deaths,age-adjusted rate,5701.32458107768,666,"Black or African American, All Origins"
2000,F,us,nvss,YLL,crude rate,9135.55035005776,666,"Black or African American, All Origins"
2000,F,us,wonder,Deaths,age-adjusted rate,5704.36392042488,666,"Black or African American, All Origins"
2000,F,us,wonder,YLL,crude rate,10059.6191259954,666,"Black or African American, All Origins"
2000,M,us,nvss,Deaths,age-adjusted rate,6160.0353487856,666,"Black or African American, All Origins"
2000,M,us,nvss,YLL,crude rate,11912.4283551031,666,"Black or African American, All Origins"
2000,M,us,wonder,Deaths,age-adjusted rate,6165.82386477294,666,"Black or African American, All Origins"
2000,M,us,wonder,YLL,crude rate,13083.6611951132,666,"Black or African American, All Origins"
2000,A,us,nvss,Deaths,age-adjusted rate,6955.15708724751,666,"White, Hispanic or Latino"
2000,A,us,nvss,YLL,crude rate,9174.01123850411,666,"White, Hispanic or Latino"
2000,A,us,wonder,Deaths,age-adjusted rate,6886.82350222476,666,"White, Hispanic or Latino"
2000,A,us,wonder,YLL,crude rate,10189.0657770665,666,"White, Hispanic or Latino"
2000,F,us,nvss,Deaths,age-adjusted rate,3119.56302759201,666,"White, Hispanic or Latino"
2000,F,us,nvss,YLL,crude rate,3356.11560776917,666,"White, Hispanic or Latino"
2000,F,us,wonder,Deaths,age-adjusted rate,3091.70520689582,666,"White, Hispanic or Latino"
2000,F,us,wonder,YLL,crude rate,3845.53654092243,666,"White, Hispanic or Latino"
2000,M,us,nvss,Deaths,age-adjusted rate,3835.5940596555,666,"White, Hispanic or Latino"
2000,M,us,nvss,YLL,crude rate,5817.89563073494,666,"White, Hispanic or Latino"
2000,M,us,wonder,Deaths,age-adjusted rate,3795.11829532895,666,"White, Hispanic or Latino"
2000,M,us,wonder,YLL,crude rate,6343.52923614411,666,"White, Hispanic or Latino"
2000,A,us,nvss,Deaths,age-adjusted rate,8386.1357471392,666,"White, Not Hispanic or Latino"
2000,A,us,nvss,YLL,crude rate,19876.5295345842,666,"White, Not Hispanic or Latino"
2000,A,us,wonder,Deaths,age-adjusted rate,8385.3481416991,666,"White, Not Hispanic or Latino"
2000,A,us,wonder,YLL,crude rate,20457.7980039301,666,"White, Not Hispanic or Latino"
2000,F,us,nvss,Deaths,age-adjusted rate,3873.31889564846,666,"White, Not Hispanic or Latino"
2000,F,us,nvss,YLL,crude rate,8974.22171703164,666,"White, Not Hispanic or Latino"
2000,F,us,wonder,Deaths,age-adjusted rate,3874.01411168884,666,"White, Not Hispanic or Latino"
2000,F,us,wonder,YLL,crude rate,9229.05236826844,666,"White, Not Hispanic or Latino"
2000,M,us,nvss,Deaths,age-adjusted rate,4512.81685149073,666,"White, Not Hispanic or Latino"
2000,M,us,nvss,YLL,crude rate,10902.3078175526,666,"White, Not Hispanic or Latino"
2000,M,us,wonder,Deaths,age-adjusted rate,4511.33403001026,666,"White, Not Hispanic or Latino"
2000,M,us,wonder,YLL,crude rate,11228.7456356616,666,"White, Not Hispanic or Latino"
2001,A,us,nvss,Deaths,age-adjusted rate,7624.23217671984,666,"American Indian or Alaska Native, All Origins"
2001,A,us,nvss,YLL,crude rate,12081.7794567209,666,"American Indian or Alaska Native, All Origins"
2001,A,us,wonder,Deaths,age-adjusted rate,7619.43824416921,666,"American Indian or Alaska Native, All Origins"
