"FIPS.code","rural_urban_class","fromYear"
1001,3,2000
1021,3,2000
1001,3,1990
1021,3,1990
1001,3,2010
1003,4,2000
1003,4,1990
1003,4,2010
1005,6,2000
1005,6,1990
1005,6,2010
1013,6,2000
1013,6,1990
1013,6,2010
1015,4,2000
1121,4,2000
1015,4,1990
1121,4,1990
1015,4,2010
1017,5,2000
1017,5,1990
1017,5,2010
1023,6,2000
1023,6,1990
1023,6,2010
1099,6,2000
1025,6,2000
1091,6,2000
1025,6,1990
1091,6,1990
1099,6,1990
1025,6,2010
1029,6,2000
1029,6,1990
1029,6,2010
1031,5,2000
1031,5,1990
1031,5,2010
1033,4,2000
1059,4,2000
1033,4,1990
1059,4,1990
1033,4,2010
1037,5,2000
1037,5,1990
1037,5,2010
1041,6,2000
1039,6,2000
1039,6,1990
1041,6,1990
1039,6,2010
1045,5,2000
1067,5,2000
1045,5,1990
1067,5,1990
1045,5,2010
1047,5,2000
1047,5,1990
1047,5,2010
1049,6,2000
1071,6,2000
1019,6,2000
1019,6,1990
1049,6,1990
1071,6,1990
1049,6,2010
1051,3,2000
1051,3,1990
1051,3,2010
1053,6,2000
1035,6,2000
1035,6,1990
1053,6,1990
1053,6,2010
1055,4,2000
1055,4,1990
1055,4,2010
1057,6,2000
1075,6,2000
1057,6,1990
1075,6,1990
1057,6,2010
1061,4,2000
1061,4,1990
1061,4,2010
1065,4,2000
1065,4,1990
1065,4,2010
1069,4,2000
1069,4,1990
1069,4,2010
1073,1,2000
1127,1,2000
1117,1,2000
1073,1,1990
1117,1,1990
1127,1,1990
1073,1,2010
1077,4,2000
1077,4,1990
1077,4,2010
1081,4,2000
1123,4,2000
1113,4,2000
1081,4,1990
1113,4,1990
1123,4,1990
1081,4,2010
1089,3,2000
1083,3,2000
1083,3,1990
1089,3,1990
1089,3,2010
1105,6,2000
1131,6,2000
1105,6,1990
1131,6,1990
1091,6,2010
1093,6,2000
1133,6,2000
1093,6,1990
1133,6,1990
1093,6,2010
1095,5,2000
1095,5,1990
1095,5,2010
1097,3,2000
1097,3,1990
1097,3,2010
1101,3,2000
1085,3,2000
1085,3,1990
1101,3,1990
1101,3,2010
1103,4,2000
1079,4,2000
1043,4,2000
1043,4,1990
1079,4,1990
1103,4,1990
1103,4,2010
1107,4,2000
1107,4,1990
1107,4,2010
1109,5,2000
1011,5,2000
1011,5,1990
1109,5,1990
1109,5,2010
1111,6,2000
1111,6,1990
1111,6,2010
1115,2,2000
1009,2,2000
1009,2,1990
1115,2,1990
1115,2,2010
1119,6,2000
1119,6,1990
1119,6,2010
1027,5,2000
1027,5,1990
1121,5,2010
1087,6,2000
1087,6,1990
1123,6,2010
1125,4,2000
1063,4,2000
1007,4,2000
1007,4,1990
1063,4,1990
1125,4,1990
1125,4,2010
1129,6,2000
1129,6,1990
1129,6,2010
2013,6,2000
2013,6,1990
2013,6,2010
2016,6,2000
2016,6,1990
2016,6,2010
2020,3,2000
2020,3,1990
2020,3,2010
